movie_title,release_year,release_month,opening_gross,domestic_lifetime_gross,legs_ratio,budget,mpaa_rating,widest_theaters,distributor
Star Wars: Episode VIII - The Last Jedi,2017,12,220009584,620181382,2.82,200000000,PG-13,4232,Walt Disney Studios Motion Pictures
Beauty and the Beast,2017,3,174750616,504014165,2.88,160000000,PG,4210,Walt Disney Studios Motion Pictures
Wonder Woman,2017,6,103251471,412563408,4.0,149000000,PG-13,4165,Warner Bros
Guardians of the Galaxy Vol. 2,2017,5,146510104,389813101,2.66,200000000,PG-13,4347,Walt Disney Studios Motion Pictures
Spider-Man: Homecoming,2017,7,117027503,334201140,2.86,175000000,PG-13,4348,Sony Pictures Releasing
It,2017,9,123403419,327481748,2.65,35000000,R,4148,Warner Bros
Thor: Ragnarok,2017,11,122744989,315058289,2.57,180000000,PG-13,4080,Walt Disney Studios Motion Pictures
Despicable Me 3,2017,6,72434025,264624300,3.65,80000000,PG,4535,Universal Pictures
Logan,2017,3,88411916,226277068,2.56,97000000,R,4071,Twentieth Century Fox
The Fate of the Furious,2017,4,98786705,226008385,2.29,250000000,PG-13,4329,Universal Pictures
Justice League,2017,11,93842239,229024295,2.44,300000000,PG-13,4051,Warner Bros
Dunkirk,2017,7,50513488,188045546,3.72,100000000,PG-13,4014,Warner Bros
Coco,2017,11,50802603,210460015,4.14,175000000,PG,3987,Walt Disney Studios Motion Pictures
The Lego Batman Movie,2017,2,53003468,175750384,3.32,80000000,PG,4088,Warner Bros
Get Out,2017,2,33377060,176040665,5.27,4500000,R,3143,Universal Pictures
The Boss Baby,2017,3,50198902,175003033,3.49,125000000,PG,3829,Twentieth Century Fox
Pirates of the Caribbean: Dead Men Tell No Tales,2017,5,62983253,172558876,2.74,230000000,PG-13,4276,Walt Disney Studios Motion Pictures
Jumanji: Welcome to the Jungle,2017,12,36169328,404515480,11.18,90000000,PG-13,3849,Sony Pictures Releasing
Kong: Skull Island,2017,3,61025472,168052812,2.75,185000000,PG-13,3846,Warner Bros
Hidden Figures,2017,12,22800057,169607287,7.44,25000000,PG,3416,Twentieth Century Fox
Cars 3,2017,6,53688680,152901115,2.85,175000000,G,4256,Walt Disney Studios Motion Pictures
War for the Planet of the Apes,2017,7,56262929,146880162,2.61,150000000,PG-13,4100,Twentieth Century Fox
Split,2017,1,40010975,138291365,3.46,9000000,PG-13,3373,Universal Pictures
Transformers: The Last Knight,2017,6,44680073,130168683,2.91,217000000,PG-13,4132,Paramount Pictures
Rogue One: A Star Wars Story,2017,12,155081681,532177324,3.43,200000000,PG-13,4157,Walt Disney Studios Motion Pictures
Wonder,2017,11,27547866,132422809,4.81,20000000,PG,3519,Lionsgate
La La Land,2017,12,9235268,151101803,16.36,30000000,PG-13,3236,Lionsgate
Sing,2017,12,35258145,270395425,7.67,75000000,PG,4029,Universal Pictures
Girls Trip,2017,7,31201920,115171585,3.69,19000000,R,2648,Universal Pictures
Fifty Shades Darker,2017,2,46607250,114581250,2.46,55000000,R,3714,Universal Pictures
Baby Driver,2017,6,20553397,107825862,5.25,34000000,R,3226,TriStar Pictures
Annabelle: Creation,2017,8,35037396,102092201,2.91,15000000,R,3565,Warner Bros
Daddy's Home 2,2017,11,29651193,104029443,3.51,69000000,PG-13,3575,Paramount Pictures
Murder on the Orient Express,2017,11,28681473,102826543,3.59,55000000,PG-13,3354,Twentieth Century Fox
Kingsman: The Golden Circle,2017,9,39023010,100229647,2.57,104000000,R,4038,Twentieth Century Fox
John Wick: Chapter 2,2017,2,30436123,92029184,3.02,40000000,R,3113,Lionsgate
Blade Runner 2049,2017,10,32753122,92054159,2.81,150000000,R,4058,Warner Bros
The Emoji Movie,2017,7,24531923,86089513,3.51,50000000,PG,4075,Sony Pictures Releasing
Power Rangers,2017,3,40300288,85364450,2.12,100000000,PG-13,3693,Lionsgate
The Mummy,2017,6,31661210,80227895,2.53,125000000,PG-13,4035,Universal Pictures
The Hitman's Bodyguard,2017,8,21384504,75468583,3.53,30000000,R,3377,Lionsgate
Alien: Covenant,2017,5,36160621,74262031,2.05,97000000,R,3772,Twentieth Century Fox
Captain Underpants: The First Epic Movie,2017,6,23851519,73921000,3.1,38000000,PG,3529,Twentieth Century Fox
A Bad Moms Christmas,2017,11,16759471,72110659,4.3,28000000,R,3615,STX Entertainment
A Dog's Purpose,2017,1,18222810,64508620,3.54,22000000,PG,3178,Universal Pictures
Pitch Perfect 3,2017,12,19928525,104897530,5.26,45000000,PG-13,3468,Universal Pictures
The Lego Ninjago Movie,2017,9,20433071,59281555,2.9,70000000,PG,4047,Warner Bros
Baywatch,2017,5,18503871,58060186,3.14,69000000,R,3647,Paramount Pictures
The Shack,2017,3,16172097,57386418,3.55,20000000,PG-13,2888,Lionsgate
Happy Death Day,2017,10,26039025,55683845,2.14,4800000,PG-13,3535,Universal Pictures
Ferdinand,2017,12,13401586,84410380,6.3,111000000,PG,3630,Twentieth Century Fox
Atomic Blonde,2017,7,18286420,51687870,2.83,30000000,R,3326,Focus Features
American Made,2017,9,16776390,51342000,3.06,50000000,R,3098,Universal Pictures
The Dark Tower,2017,8,19153698,50701325,2.65,60000000,PG-13,3451,Sony Pictures Releasing
The Greatest Showman,2017,12,8805843,174340174,19.8,84000000,PG,3342,Twentieth Century Fox
Boo 2! A Madea Halloween,2017,10,21226953,47319572,2.23,25000000,PG-13,2388,Lionsgate
Lion,2017,11,123360,51738905,419.41,12000000,PG-13,1802,The Weinstein Company
Snatched,2017,5,19542248,45852178,2.35,42000000,R,3511,Twentieth Century Fox
The Great Wall,2017,2,18469620,45540830,2.47,150000000,PG-13,3328,Universal Pictures
Smurfs: The Lost Village,2017,4,13210449,45020282,3.41,60000000,PG,3610,Sony Pictures Releasing
Going in Style,2017,4,11932330,45018541,3.77,25000000,PG-13,3076,Warner Bros
All Eyez on Me,2017,6,26435354,44922302,1.7,40000000,R,2471,Lionsgate
xXx: Return of Xander Cage,2017,1,20130142,44898413,2.23,85000000,PG-13,3651,Paramount Pictures
Passengers,2017,12,14851136,100014699,6.73,110000000,PG-13,3478,Sony Pictures Releasing
47 Meters Down,2017,6,11205561,44307191,3.95,5500000,PG-13,2471,Entertainment Studios Motion Pictures
The Big Sick,2017,6,7563040,42873127,5.67,5000000,R,2597,Lionsgate
Moana,2017,11,56631401,248757044,4.39,150000000,PG,3875,Walt Disney Studios Motion Pictures
Ghost in the Shell,2017,3,18676033,40563557,2.17,110000000,PG-13,3440,Paramount Pictures
Valerian and the City of a Thousand Planets,2017,7,17007624,41189488,2.42,177000000,PG-13,3553,STX Entertainment
The Star,2017,11,9812674,40852824,4.16,20000000,PG,2976,Sony Pictures Releasing
King Arthur: Legend of the Sword,2017,5,15371270,39175066,2.55,175000000,PG-13,3702,Warner Bros
Jigsaw,2017,10,16640452,38052832,2.29,10000000,R,2941,Lionsgate
American Assassin,2017,9,14832864,36249674,2.44,33000000,R,3154,Lionsgate
The Foreigner,2017,10,12840715,34393507,2.68,35000000,R,2515,STX Entertainment
"Everything, Everything",2017,5,11727390,34121140,2.91,10000000,PG-13,2801,Warner Bros
Wind River,2017,8,3040111,33800859,11.12,11000000,R,2890,The Weinstein Company
Geostorm,2017,10,13707376,33700160,2.46,120000000,PG-13,3246,Warner Bros
Monster Trucks,2017,1,10520710,33370166,3.17,125000000,PG,3119,Paramount Pictures
Fist Fight,2017,2,12201873,32187017,2.64,25000000,R,3185,Warner Bros
How to Be a Latin Lover,2017,4,12252439,32149404,2.62,10000000,PG-13,1203,Pantelion Films
Lady Bird,2017,11,2529915,48958273,19.35,10000000,R,1557,A24
Fences,2017,12,11600170,57682904,4.97,24000000,PG-13,2368,Paramount Pictures
Patriots Day,2017,12,11613765,31886361,2.75,45000000,R,3120,Lionsgate
Kidnap,2017,8,10016323,30971040,3.09,21000000,R,2418,Aviron Pictures
Underworld: Blood Wars,2017,1,13682042,30353973,2.22,35000000,R,3070,Screen Gems
The Mountain Between Us,2017,10,10551336,30348555,2.88,35000000,PG-13,3259,Twentieth Century Fox
Life,2017,3,12501156,30234022,2.42,58000000,R,3146,Sony Pictures Releasing
Why Him?,2017,12,11003144,60323786,5.48,38000000,R,3008,Twentieth Century Fox
The Nut Job 2: Nutty by Nature,2017,8,8342311,28370522,3.4,40000000,PG,4003,Open Road Films (II)
Rings,2017,2,13002632,27793018,2.14,25000000,PG-13,2931,Paramount Pictures
Logan Lucky,2017,8,7600036,27780977,3.66,29000000,PG-13,3031,Bleecker Street Media
Home Again,2017,9,8504797,27020284,3.18,12000000,PG-13,3036,Open Road Films (II)
Resident Evil: The Final Chapter,2017,1,13601682,26830068,1.97,40000000,R,3104,Screen Gems
The House,2017,6,8724674,25584504,2.93,40000000,R,3134,Warner Bros
Gifted,2017,4,3007466,24801212,8.25,7000000,PG-13,2215,Fox Searchlight Pictures
"Three Billboards Outside Ebbing, Missouri",2017,11,4411354,54513740,12.36,12000000,R,1726,Fox Searchlight Pictures
The Bye Bye Man,2017,1,13501316,22395806,1.66,7400000,PG-13,2220,STX Entertainment
Victoria & Abdul,2017,9,3121556,22245070,7.13,20000000,PG-13,1060,Focus Features
Rough Night,2017,6,8004283,22105643,2.76,20000000,R,3162,Sony Pictures Releasing
My Little Pony: The Movie,2017,10,8885899,21885107,2.46,6500000,PG,2528,Lionsgate
