movie_title,release_year,release_month,opening_gross,domestic_lifetime_gross,legs_ratio,budget,mpaa_rating,widest_theaters,distributor
Jersey Boys,2014,6,13319405,47047013,3.53,40000000,R,2905,Warner Bros
The Judge,2014,10,13116226,47119388,3.59,50000000,R,3003,Warner Bros
Blended,2014,5,14284031,46294610,3.24,40000000,PG-13,3555,Warner Bros
The Giver,2014,8,12305016,45090374,3.66,25000000,PG-13,3003,The Weinstein Company
Need for Speed,2014,3,17844939,43577636,2.44,66000000,PG-13,3115,Walt Disney Studios Motion Pictures
A Million Ways to Die in the West,2014,5,16797385,43139300,2.57,40000000,R,3160,Universal Pictures
St. Vincent,2014,10,109229,44137712,404.08,13000000,PG-13,2552,The Weinstein Company
John Wick,2014,10,14415922,43037835,2.99,20000000,R,2589,Lionsgate
Dolphin Tale 2,2014,9,15875203,42024533,2.65,36000000,PG,3656,Warner Bros
The Expendables 3,2014,8,15879645,39322544,2.48,90000000,PG-13,3221,Lionsgate
Saving Mr. Banks,2014,12,421118,83301580,197.81,35000000,PG,2671,Walt Disney Studios Motion Pictures
Earth to Echo,2014,7,8355675,38934842,4.66,13000000,PG,3230,Relativity Media
Sex Tape,2014,7,14611417,38543473,2.64,40000000,R,3062,Sony Pictures Releasing
August: Osage County,2014,12,175822,37738810,214.64,25000000,R,2411,The Weinstein Company
Million Dollar Arm,2014,5,10515660,36457627,3.47,25000000,PG,3019,Walt Disney Studios Motion Pictures
Anchorman 2: The Legend Continues,2014,12,26232425,125168368,4.77,50000000,PG-13,3507,Paramount Pictures
This Is Where I Leave You,2014,9,11558149,34296320,2.97,20000000,R,2868,Warner Bros
Paranormal Activity: The Marked Ones,2014,1,18343611,32462372,1.77,5000000,R,2883,Paramount Pictures
Nightcrawler,2014,10,10441000,32381217,3.1,8500000,R,2766,Open Road Films (II)
Chef,2014,5,204218,31424003,153.87,11000000,R,1298,Open Road Films (II)
Get on Up,2014,8,13585915,30703100,2.26,30000000,PG-13,2469,Universal Pictures
3 Days to Kill,2014,2,12242655,30697999,2.51,28000000,PG-13,2872,Relativity Media
Deliver Us from Evil,2014,7,9522201,30577122,3.21,30000000,R,3049,Screen Gems
When the Game Stands Tall,2014,8,8382103,30127963,3.59,15000000,PG,2766,TriStar Pictures
The Hunger Games: Catching Fire,2014,11,158074286,424668047,2.69,130000000,PG-13,4163,Lionsgate
Draft Day,2014,4,9783603,28842237,2.95,25000000,PG-13,2781,Lionsgate
Oculus,2014,4,12005402,27695246,2.31,5000000,R,2648,Relativity Media
The Secret Life of Walter Mitty,2014,12,12717411,58236838,4.58,90000000,PG-13,2922,Twentieth Century Fox
The Best of Me,2014,10,10003827,26766213,2.68,26000000,PG-13,2936,Relativity Media
