movie_title,release_year,release_month,opening_gross,domestic_lifetime_gross,legs_ratio,budget,mpaa_rating,widest_theaters,distributor
Jurassic World,2015,6,208806270,652270625,3.12,150000000,PG-13,4291,Universal Pictures
Star Wars: Episode VII - The Force Awakens,2015,12,247966675,936662225,3.78,245000000,PG-13,4134,Walt Disney Studios Motion Pictures
Avengers: Age of Ultron,2015,5,191271109,459005868,2.4,250000000,PG-13,4276,Walt Disney Studios Motion Pictures
Inside Out,2015,6,90440272,356461711,3.94,175000000,PG,4158,Walt Disney Studios Motion Pictures
Furious 7,2015,4,147187040,353007020,2.4,190000000,PG-13,4022,Universal Pictures
American Sniper,2015,12,89269066,350126372,3.92,58800000,R,3885,Warner Bros
Minions,2015,7,115718405,336045770,2.9,74000000,PG,4311,Universal Pictures
The Hunger Games: Mockingjay - Part 2,2015,11,102665981,281723902,2.74,160000000,PG-13,4175,Lionsgate
The Martian,2015,10,54308575,228433663,4.21,108000000,PG-13,3854,Twentieth Century Fox
Cinderella,2015,3,67877361,201151353,2.96,95000000,PG,3848,Walt Disney Studios Motion Pictures
Spectre,2015,11,70403148,200074609,2.84,245000000,PG-13,3929,Sony Pictures Releasing
Mission: Impossible - Rogue Nation,2015,7,55520089,195042377,3.51,150000000,PG-13,3988,Paramount Pictures
Pitch Perfect 2,2015,5,69216890,184296230,2.66,29000000,PG-13,3660,Universal Pictures
Ant-Man,2015,7,57225526,180202163,3.15,130000000,PG-13,3868,Walt Disney Studios Motion Pictures
Home,2015,3,52107731,177397510,3.4,135000000,PG,3801,Twentieth Century Fox
Hotel Transylvania 2,2015,9,48464322,169700110,3.5,80000000,PG,3768,Sony Pictures Releasing
Fifty Shades of Grey,2015,2,85171450,166167230,1.95,40000000,R,3655,Universal Pictures
The SpongeBob Movie: Sponge Out of Water,2015,2,55365012,162994032,2.94,74000000,PG,3680,Paramount Pictures
Straight Outta Compton,2015,8,60200180,161197785,2.68,28000000,R,3142,Universal Pictures
San Andreas,2015,5,54588173,155190832,2.84,110000000,PG-13,3812,Warner Bros
Mad Max: Fury Road,2015,5,45428128,153636354,3.38,150000000,R,3722,Warner Bros
The Divergent Series: Insurgent,2015,3,52263680,130179072,2.49,110000000,PG-13,3875,Lionsgate
Kingsman: The Secret Service,2015,2,36206331,128261724,3.54,81000000,R,3282,Twentieth Century Fox
The Peanuts Movie,2015,11,44213073,130178411,2.94,99000000,G,3902,Twentieth Century Fox
Spy,2015,6,29085719,110825712,3.81,65000000,R,3715,Twentieth Century Fox
The Good Dinosaur,2015,11,39155226,123087120,3.14,175000000,PG,3749,Walt Disney Studios Motion Pictures
Trainwreck,2015,7,30102050,110212700,3.66,35000000,R,3171,Universal Pictures
Creed,2015,11,29632802,109767581,3.7,35000000,PG-13,3502,Warner Bros
Tomorrowland,2015,5,33028165,93436322,2.83,190000000,PG,3972,Walt Disney Studios Motion Pictures
Get Hard,2015,3,33803253,90411453,2.67,40000000,R,3212,Warner Bros
Terminator Genisys,2015,7,27018486,89760956,3.32,155000000,PG-13,3783,Paramount Pictures
Taken 3,2015,1,39201657,89256424,2.28,48000000,PG-13,3594,Twentieth Century Fox
Maze Runner: The Scorch Trials,2015,9,30316510,81697192,2.69,61000000,PG-13,3792,Twentieth Century Fox
Ted 2,2015,6,33509045,81476385,2.43,68000000,R,3448,Universal Pictures
Goosebumps,2015,10,23618556,80080379,3.39,58000000,PG,3618,Sony Pictures Releasing
Pixels,2015,7,24011182,78747585,3.28,88000000,PG-13,3723,Sony Pictures Releasing
Paddington,2015,1,18966775,76271832,4.02,55000000,PG,3355,Dimension Films
The Intern,2015,9,17728313,75764672,4.27,35000000,PG-13,3320,Warner Bros
The Imitation Game,2015,11,158473,91125683,575.02,14000000,PG-13,2402,The Weinstein Company
Paul Blart: Mall Cop 2,2015,4,23762435,71038190,2.99,30000000,PG,3633,Sony Pictures Releasing
Bridge of Spies,2015,10,15371203,72313754,4.7,40000000,PG-13,2873,Walt Disney Studios Motion Pictures
War Room,2015,8,11351389,67790117,5.97,3000000,PG,1945,TriStar Pictures
Magic Mike XXL,2015,7,12857184,66013057,5.13,14800000,R,3376,Warner Bros
The Hobbit: The Battle of the Five Armies,2015,12,54724334,255119788,4.66,250000000,PG-13,3875,Warner Bros
The Visit,2015,9,25427560,65206105,2.56,5000000,PG-13,3148,Universal Pictures
Daddy's Home,2015,12,38740204,150357137,3.88,50000000,PG-13,3483,Paramount Pictures
The Wedding Ringer,2015,1,20649306,64460211,3.12,23000000,R,3003,Screen Gems
Into the Woods,2015,12,31051923,128002372,4.12,50000000,PG,2833,Walt Disney Studios Motion Pictures
Black Mass,2015,9,22635037,62575678,2.76,53000000,R,3188,Warner Bros
Vacation,2015,7,14681108,58884188,4.01,31000000,R,3430,Warner Bros
The Perfect Guy,2015,9,25888154,57027435,2.2,12000000,PG-13,2230,Screen Gems
Fantastic Four,2015,8,25685737,56117548,2.18,120000000,PG-13,4004,Twentieth Century Fox
Alvin and the Chipmunks: The Road Chip,2015,12,14287159,85886987,6.01,90000000,PG,3705,Twentieth Century Fox
Focus,2015,2,18685137,53862963,2.88,50100000,R,3323,Warner Bros
Unbroken,2015,12,30621445,115637895,3.78,65000000,PG-13,3301,Universal Pictures
Southpaw,2015,7,16701294,52421953,3.14,30000000,R,2772,The Weinstein Company
Insidious: Chapter 3,2015,6,22689525,52218558,2.3,10000000,PG-13,3014,Focus Features
Selma,2015,12,565290,52076908,92.12,20000000,PG-13,2235,Paramount Pictures
Sisters,2015,12,13922855,87044645,6.25,30000000,R,2978,Universal Pictures
Poltergeist,2015,5,22620386,47425125,2.1,35000000,PG-13,3242,Twentieth Century Fox
Jupiter Ascending,2015,2,18372372,47387723,2.58,176000000,PG-13,3181,Warner Bros
Sicario,2015,9,401293,46889293,116.85,30000000,R,2620,Lionsgate
The Man from U.N.C.L.E.,2015,8,13421036,45445109,3.39,75000000,PG-13,3673,Warner Bros
"McFarland, USA",2015,2,11025272,44482410,4.03,25000000,PG,2792,Walt Disney Studios Motion Pictures
Night at the Museum: Secret of the Tomb,2015,12,17100520,113746621,6.65,127000000,PG,3914,Twentieth Century Fox
The Gift,2015,8,11854273,43787265,3.69,5000000,R,2503,STX Entertainment
Everest,2015,9,7222035,43482270,6.02,55000000,PG-13,3009,Universal Pictures
The Night Before,2015,11,9880536,43047372,4.36,25000000,R,2960,Sony Pictures Releasing
Max,2015,6,12161417,42656255,3.51,20000000,PG,2870,Warner Bros
The Age of Adaline,2015,4,13202181,42629776,3.23,25000000,PG-13,3070,Lionsgate
Krampus,2015,12,16293325,42725475,2.62,15000000,PG-13,2919,Universal Pictures
The Longest Ride,2015,4,13019686,37446117,2.88,34000000,PG-13,3371,Twentieth Century Fox
The Boy Next Door,2015,1,14913245,35423380,2.38,4000000,R,2615,Universal Pictures
Pan,2015,10,15314713,35088320,2.29,150000000,PG,3515,Warner Bros
Hot Pursuit,2015,5,13942258,34580201,2.48,35000000,PG-13,3037,Warner Bros
The DUFF,2015,2,10809149,34030343,3.15,8500000,PG-13,2622,Lionsgate
Woman in Gold,2015,4,2004077,33307793,16.62,11000000,PG-13,2011,The Weinstein Company
The Second Best Exotic Marigold Hotel,2015,3,8540370,33078266,3.87,10000000,PG-13,2022,Fox Searchlight Pictures
Unfriended,2015,4,15845130,32482090,2.05,1000000,R,2775,Universal Pictures
Entourage,2015,6,10283250,32363404,3.15,30000000,R,3108,Warner Bros
Paper Towns,2015,7,12650140,32000304,2.53,12000000,PG-13,3031,Twentieth Century Fox
Chappie,2015,3,13346782,31569268,2.37,49000000,R,3201,Sony Pictures Releasing
Crimson Peak,2015,10,13143310,31090320,2.37,55000000,R,2991,Universal Pictures
A Walk in the Woods,2015,9,8245902,29504281,3.58,8000000,R,2158,Broad Green Pictures
Annie,2015,12,15861939,85911262,5.42,65000000,PG,3197,Sony Pictures Releasing
Joy,2015,12,17015248,56451232,3.32,60000000,PG-13,2924,Twentieth Century Fox
Sinister 2,2015,8,10542116,27740955,2.63,10000000,R,2799,Focus Features
The Last Witch Hunter,2015,10,10812861,27367660,2.53,71000000,PG-13,3082,Lionsgate
No Escape,2015,8,8111264,27288872,3.36,5000000,R,3415,The Weinstein Company
Ricki and the Flash,2015,8,6612535,26822144,4.06,18000000,PG-13,2064,TriStar Pictures
The Woman in Black 2: Angel of Death,2015,1,15027415,26501323,1.76,15000000,PG-13,2602,Relativity Media
Run All Night,2015,3,11012305,26461644,2.4,50000000,R,3171,Warner Bros
Love the Coopers,2015,11,8320317,26302731,3.16,17000000,PG-13,2603,Lionsgate
Spotlight,2015,11,124734,45055776,361.21,20000000,R,1227,Open Road Films (II)
The Lazarus Effect,2015,2,10203444,25801570,2.53,3300000,PG-13,2666,Relativity Media
Ex Machina,2015,4,237264,25442958,107.23,15000000,R,2004,A24
The Big Short,2015,12,705527,70259870,99.58,28000000,R,2529,Paramount Pictures
The Hunger Games: Mockingjay - Part 1,2015,11,121897634,337135885,2.77,125000000,PG-13,4151,Lionsgate
In the Heart of the Sea,2015,12,11053366,25020758,2.26,100000000,PG-13,3103,Warner Bros
The Gallows,2015,7,9811331,22764410,2.32,100000,R,2720,Warner Bros
