movie_title,release_year,release_month,opening_gross,domestic_lifetime_gross,legs_ratio,budget,mpaa_rating,widest_theaters,distributor
A Minecraft Movie,2025,4,142000000,424087780,2.99,150000000,PG,4289,Warner Bros
Lilo & Stitch,2025,5,115000000,423778855,3.69,60000000,PG,4410,Walt Disney Studios Motion Pictures
Superman,2025,7,125000000,354223803,2.83,200000000,PG-13,4275,Warner Bros
Jurassic World: Rebirth,2025,7,135000000,339640400,2.52,200000000,PG-13,4324,Universal Pictures
Zootopia 2,2025,11,118000000,421621131,3.57,150000000,PG,4000,Walt Disney Studios Motion Pictures
Wicked: For Good,2025,11,130000000,342915090,2.64,150000000,PG,4115,Universal Pictures
Sinners,2025,4,85000000,279989632,3.29,75000000,R,3518,Warner Bros
The Fantastic Four: First Steps,2025,7,110000000,274286610,2.49,200000000,PG-13,4125,Walt Disney Studios Motion Pictures
How to Train Your Dragon,2025,6,75000000,262958100,3.51,150000000,PG,4373,Universal Pictures
Avatar: Fire and Ash,2025,12,155000000,397641400,2.57,250000000,PG-13,3835,20th Century Studios
Captain America: Brave New World,2025,2,95000000,200500001,2.11,200000000,PG-13,4105,Walt Disney Studios Motion Pictures
Mission: Impossible - The Final Reckoning,2025,5,88000000,197413515,2.24,290000000,PG-13,3861,Paramount Pictures
Thunderbolts*,2025,5,72000000,190274328,2.64,200000000,PG-13,4330,Walt Disney Studios Motion Pictures
F1: The Movie,2025,6,65000000,189642436,2.92,250000000,PG-13,3732,Warner Bros
The Conjuring: Last Rites,2025,9,42000000,177756445,4.23,40000000,R,3802,Warner Bros
Weapons,2025,8,25000000,151572492,6.06,20000000,R,3631,Warner Bros
Final Destination: Bloodlines,2025,5,28000000,138254739,4.94,25000000,R,3523,Warner Bros
Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,9,32000000,134519077,4.2,20000000,R,3342,Sony Pictures Releasing
Mufasa: The Lion King,2025,12,85000000,254567693,2.99,200000000,PG,4100,Walt Disney Studios Motion Pictures
Five Nights at Freddy's 2,2025,12,92000000,127730290,1.39,25000000,PG-13,3579,Universal Pictures
Dog Man,2025,1,45000000,97970355,2.18,100000000,PG,3887,Universal Pictures
Freakier Friday,2025,8,35000000,94186236,2.69,40000000,PG-13,3975,Walt Disney Studios Motion Pictures
Predator: Badlands,2025,11,30000000,91083631,3.04,50000000,R,3725,20th Century Studios
Snow White,2025,3,55000000,87203963,1.59,200000000,PG,4200,Walt Disney Studios Motion Pictures
Sonic the Hedgehog 3,2025,12,70000000,236115100,3.37,122000000,PG,3769,Paramount Pictures
The Bad Guys 2,2025,8,38000000,82593605,2.17,80000000,PG,3860,Universal Pictures
Black Phone 2,2025,10,28000000,77378880,2.76,15000000,R,3460,Universal Pictures
Tron: Ares,2025,10,45000000,73161014,1.63,150000000,PG-13,4000,Walt Disney Studios Motion Pictures
Elio,2025,6,40000000,72987454,1.82,175000000,PG,3750,Walt Disney Studios Motion Pictures
One Battle After Another,2025,9,15000000,72172051,4.81,10000000,NR,3634,Warner Bros
28 Years Later,2025,6,35000000,70446897,2.01,60000000,R,3444,Sony Pictures Releasing
The Accountant 2,2025,4,28000000,65523366,2.34,45000000,R,3610,Amazon MGM Studios
Now You See Me: Now You Don't,2025,11,32000000,61882396,1.93,60000000,PG-13,3403,Lionsgate
The King of Kings,2025,4,12000000,60270106,5.02,10000000,NR,3535,Angel
David,2025,12,14000000,80308002,5.74,20000000,NR,3118,Angel
Ballerina,2025,6,35000000,58051327,1.66,75000000,R,3409,Lionsgate
Moana 2,2025,11,85000000,460405297,5.42,150000000,PG,4200,Walt Disney Studios Motion Pictures
The Housemaid,2025,12,10000000,125810163,12.58,10000000,NR,3123,Lionsgate
The Naked Gun,2025,8,22000000,52647396,2.39,40000000,PG-13,3363,Paramount Pictures International
Karate Kid: Legends,2025,5,30000000,52547391,1.75,40000000,PG-13,3859,Sony Pictures Releasing
One of Them Days,2025,1,18000000,50054690,2.78,20000000,R,2675,Sony Pictures Releasing
Regretting You,2025,10,15000000,48852948,3.26,15000000,PG-13,3425,Paramount Pictures International
Nosferatu,2025,12,25000000,95608235,3.82,100000000,R,3132,Focus Features
A Complete Unknown,2025,12,12000000,75001720,6.25,40000000,R,2835,Searchlight Pictures
The SpongeBob Movie: Search for SquarePants,2025,12,35000000,71068170,2.03,60000000,PG,3570,Paramount Pictures International
Mickey 17,2025,3,30000000,46142263,1.54,150000000,R,3807,Warner Bros
Paddington in Peru,2025,2,25000000,45800000,1.83,50000000,PG,3890,Sony Pictures Releasing
Downton Abbey: The Grand Finale,2025,9,22000000,44996590,2.05,40000000,PG,3711,Focus Features
Chainsaw Man - The Movie: Reze Arc,2025,10,15000000,43438461,2.9,10000000,R,3003,Sony Pictures Releasing
Wicked,2025,11,114000000,474983975,4.17,150000000,PG,3888,Universal Pictures
The Amateur,2025,4,18000000,40759635,2.26,35000000,PG-13,3400,20th Century Studios
Marty Supreme,2025,12,10000000,94750347,9.48,20000000,R,2887,A24
The Monkey,2025,2,12000000,39724909,3.31,10000000,R,3227,Neon
The Running Man,2025,11,40000000,37815641,0.95,100000000,R,3534,Paramount Pictures International
A Working Man,2025,3,5000000,37000711,7.4,5000000,NR,3262,Amazon MGM Studios
Materialists,2025,6,8000000,36521973,4.57,10000000,NR,2844,A24
Den of Thieves: Pantera,2025,1,18000000,36015016,2.0,30000000,R,3008,Lionsgate
The Long Walk,2025,9,12000000,35163573,2.93,15000000,R,2845,Lionsgate
Star Wars: Episode III - Revenge of the Sith,2025,4,108000000,34107714,0.32,113000000,PG-13,2800,Walt Disney Studios Motion Pictures
Taylor Swift: The Official Release Party of a Showgirl,2025,10,15000000,34062774,2.27,5000000,NR,3702,AMC Theatres
I Know What You Did Last Summer,2025,7,22000000,32165634,1.46,30000000,R,3206,Sony Pictures Releasing
Gabby's Dollhouse: The Movie,2025,9,15000000,32011820,2.13,30000000,G,3507,Universal Pictures
Anaconda,2025,12,18000000,64487482,3.58,30000000,NR,3509,Sony Pictures Releasing
Smurfs,2025,7,28000000,31075170,1.11,60000000,PG,3504,Paramount Pictures International
Heart Eyes,2025,2,8000000,30415738,3.8,5000000,R,3102,Sony Pictures Releasing
Flight Risk,2025,1,12000000,29783527,2.48,25000000,R,3161,Lionsgate
Warfare,2025,4,10000000,26000309,2.6,20000000,NR,2670,A24
Him,2025,9,14000000,25009605,1.79,15000000,R,3168,Universal Pictures
M3GAN 2.0,2025,6,35000000,24101280,0.69,15000000,PG-13,3133,Universal Pictures
Ne Zha 2,2025,2,15000000,23308176,1.55,20000000,NR,2228,CMC Pictures
KPop Demon Hunters,2025,8,12000000,24300000,2.02,40000000,NR,2890,Netflix
Roofman,2025,10,10000000,22739882,2.27,15000000,NR,3370,Paramount Pictures International
Springsteen: Deliver Me from Nowhere,2025,10,12000000,22638297,1.89,25000000,NR,3460,20th Century Studios
The Woman in the Yard,2025,3,12000000,22405985,1.87,10000000,R,2845,Universal Pictures
Nobody 2,2025,8,22000000,21604985,0.98,20000000,R,3282,Universal Pictures
Black Bag,2025,3,18000000,21474035,1.19,40000000,R,2713,Focus Features
Death of a Unicorn,2025,3,8000000,12899252,1.61,10000000,NR,3050,A24
Together,2025,7,7000000,21273159,3.04,5000000,R,2302,Neon
Last Breath,2025,2,12000000,21051180,1.75,20000000,R,3090,Focus Features
Companion,2025,1,10000000,20869122,2.09,15000000,R,3285,Warner Bros
Wolf Man,2025,1,20000000,20707280,1.04,20000000,R,3354,Universal Pictures
The Chosen: Last Supper,2025,3,15000000,20257290,1.35,10000000,NR,2272,-
Until Dawn,2025,4,18000000,20172192,1.12,20000000,R,3055,Screen Gems
Novocaine,2025,3,15000000,19861854,1.32,15000000,R,3369,Paramount Pictures International
The Phoenician Scheme,2025,5,12000000,19555015,1.63,25000000,NR,1731,Focus Features
Bring Her Back,2025,5,10000000,19333305,1.93,10000000,R,2449,A24
Babygirl,2025,12,12000000,28196732,2.35,10000000,R,2164,A24
Caught Stealing,2025,8,15000000,19005242,1.27,20000000,R,3578,Sony Pictures Releasing
Bugonia,2025,10,20000000,17692390,0.88,35000000,R,2043,Focus Features
Hamilton,2025,9,5000000,16946377,3.39,12500000,PG-13,1850,Walt Disney Studios Motion Pictures
Song Sung Blue,2025,12,12000000,39185290,3.27,15000000,NR,2705,Focus Features
Drop,2025,4,10000000,16600805,1.66,10000000,R,3089,Universal Pictures
Good Fortune,2025,10,15000000,16585758,1.11,20000000,R,2990,Lionsgate
Jujutsu Kaisen: Execution,2025,12,18000000,16583133,0.92,10000000,R,1935,GKIDS
Friendship,2025,5,8000000,16252948,2.03,5000000,NR,1293,A24
Eternity,2025,11,12000000,16210244,1.35,15000000,NR,2386,A24
Love Hurts,2025,2,15000000,15683090,1.05,15000000,R,3055,Universal Pictures
The Brutalist,2025,12,8000000,16279129,2.03,10000000,R,1612,A24
The Roses,2025,8,18000000,15298844,0.85,20000000,R,2700,Searchlight Pictures
The Last Rodeo,2025,5,8000000,15201659,1.9,10000000,R,2205,Angel
