movie_title,release_year,release_month,opening_gross,domestic_lifetime_gross,legs_ratio,budget,mpaa_rating,widest_theaters,distributor
Spider-Man: No Way Home,2021,12,260138569.0,804793477,3.09,200000000.0,PG-13,4336,Sony Pictures Releasing
Shang-Chi and the Legend of the Ten Rings,2021,9,75388688.0,224543292,2.98,150000000.0,PG-13,4300,Walt Disney Studios Motion Pictures
Venom: Let There Be Carnage,2021,10,90033210.0,213550366,2.37,110000000.0,PG-13,4225,Sony Pictures Releasing
Black Widow,2021,7,80366312.0,183651655,2.29,200000000.0,PG-13,4275,Walt Disney Studios Motion Pictures
F9: The Fast Saga,2021,6,70043165.0,173005945,2.47,200000000.0,PG-13,4203,Universal Pictures
Eternals,2021,11,71297219.0,164870234,2.31,200000000.0,PG-13,4090,Walt Disney Studios Motion Pictures
No Time to Die,2021,10,55225007.0,160891007,2.91,250000000.0,PG-13,4407,Metro-Goldwyn-Mayer (MGM)
A Quiet Place Part II,2021,5,47547231.0,160072261,3.37,61000000.0,PG-13,3744,Paramount Pictures
Ghostbusters: Afterlife,2021,11,44008406.0,129360575,2.94,75000000.0,PG-13,4315,Sony Pictures Releasing
Free Guy,2021,8,28402315.0,121626598,4.28,100000000.0,PG-13,4165,20th Century Studios
Jungle Cruise,2021,7,35018731.0,116987516,3.34,200000000.0,PG-13,4310,Walt Disney Studios Motion Pictures
Godzilla vs. Kong,2021,3,31625971.0,100916094,3.19,155000000.0,PG-13,3084,Warner Bros
Dune: Part One,2021,10,41011174.0,108327830,2.64,165000000.0,PG-13,4125,Warner Bros
Halloween Kills,2021,10,49404980.0,92002155,1.86,20000000.0,R,3727,Universal Pictures
Encanto,2021,11,27206494.0,96093622,3.53,120000000.0,PG,3980,Walt Disney Studios Motion Pictures
Cruella,2021,5,21305247.0,86103234,4.04,100000000.0,PG-13,3922,Walt Disney Studios Motion Pictures
Sing 2,2021,12,22326230.0,162790990,7.29,85000000.0,PG,3892,Universal Pictures
Space Jam: A New Legacy,2021,7,31051462.0,70592228,2.27,150000000.0,PG,4002,Warner Bros
The Conjuring: The Devil Made Me Do It,2021,6,24104332.0,65631050,2.72,39000000.0,R,3280,Warner Bros
Candyman,2021,8,22022875.0,61186570,2.78,25000000.0,R,3569,Universal Pictures
The Boss Baby 2: Family Business,2021,7,16001075.0,57300280,3.58,82000000.0,PG,3688,Universal Pictures
The Addams Family 2,2021,10,17322654.0,56489153,3.26,24000000.0,PG,4207,United Artists Releasing
The Suicide Squad,2021,8,26205415.0,55817425,2.13,185000000.0,R,4019,Warner Bros
Raya and the Last Dragon,2021,3,8502498.0,54723032,6.44,100000000.0,PG,2375,Walt Disney Studios Motion Pictures
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2021,4,21144800.0,49505008,2.34,16000000.0,R,2087,FUNimation Entertainment
Clifford the Big Red Dog,2021,11,16635502.0,48947356,2.94,64000000.0,PG,3700,Paramount Pictures
