movie_title,release_year,release_month,opening_gross,domestic_lifetime_gross,legs_ratio,budget,mpaa_rating,widest_theaters,distributor
Harry Potter and the Deathly Hallows: Part 2,2011,7,169189427,381011219,2.25,125000000,PG-13,4375,Warner Bros
Transformers: Dark of the Moon,2011,6,97852496,352390543,3.6,195000000,PG-13,4088,DreamWorks
The Twilight Saga: Breaking Dawn - Part 1,2011,11,138122261,281287133,2.04,110000000,PG-13,4066,Summit Entertainment
The Hangover Part II,2011,5,85946290,254464305,2.96,8000000,R,3675,Warner Bros
Pirates of the Caribbean: On Stranger Tides,2011,5,90151958,241071802,2.67,250000000,PG-13,4164,Walt Disney Studios Motion Pictures
Fast Five,2011,4,86198765,209837675,2.43,125000000,PG-13,3793,Universal Pictures
Cars 2,2011,6,66135507,191452396,2.89,200000000,G,4115,Walt Disney Studios Motion Pictures
Thor,2011,5,65723338,181030624,2.75,150000000,PG-13,3963,Paramount Pictures
Rise of the Planet of the Apes,2011,8,54806191,176760185,3.23,93000000,PG-13,3691,Twentieth Century Fox
Captain America: The First Avenger,2011,7,65058524,176654505,2.72,140000000,PG-13,3715,Paramount Pictures
The Help,2011,8,26044591,169708112,6.52,25000000,PG-13,3014,Walt Disney Studios Motion Pictures
Bridesmaids,2011,5,26247628,169451048,6.46,32500000,R,2958,Universal Pictures
Kung Fu Panda 2,2011,5,47656302,165249063,3.47,150000000,PG,3952,DreamWorks
X-Men: First Class,2011,6,55101604,146408305,2.66,160000000,PG-13,3692,Twentieth Century Fox
Puss in Boots,2011,10,34077439,149260504,4.38,130000000,PG,3963,DreamWorks
Rio,2011,4,39225562,143619809,3.66,90000000,G,3842,Twentieth Century Fox
The Smurfs,2011,7,35611637,142614158,4.0,110000000,PG,3427,Sony Pictures Releasing
Super 8,2011,6,35451168,127004179,3.58,50000000,PG-13,3424,Paramount Pictures
Sherlock Holmes: A Game of Shadows,2011,12,39637079,186848418,4.71,125000000,PG-13,3703,Warner Bros
Rango,2011,3,38079323,123477607,3.24,135000000,PG,3923,Paramount Pictures
Mission: Impossible - Ghost Protocol,2011,12,29514930,209397903,7.09,145000000,PG-13,3555,Paramount Pictures
The King's Speech,2011,11,349791,135453143,387.24,15000000,R,2584,The Weinstein Company
Horrible Bosses,2011,7,28302165,117538559,4.15,35000000,R,3134,Warner Bros
Green Lantern,2011,6,53174303,116601172,2.19,200000000,PG-13,3816,Warner Bros
Hop,2011,4,37543710,108085305,2.88,63000000,PG,3616,Universal Pictures
Paranormal Activity 3,2011,10,52568402,104028807,1.98,5000000,R,3329,Paramount Pictures
Just Go with It,2011,2,30514732,103028109,3.38,80000000,PG-13,3548,Sony Pictures Releasing
True Grit,2011,12,24830443,171243005,6.9,38000000,PG-13,3464,Paramount Pictures
Bad Teacher,2011,6,31603106,100292856,3.17,20000000,R,3049,Sony Pictures Releasing
Cowboys & Aliens,2011,7,36431290,100240551,2.75,163000000,PG-13,3754,Universal Pictures
Gnomeo & Juliet,2011,2,25356090,99967670,3.94,36000000,G,3037,Walt Disney Studios Motion Pictures
The Green Hornet,2011,1,33526376,98780042,2.95,120000000,PG-13,3584,Sony Pictures Releasing
The Lion King,2011,9,30151558,94242001,3.13,45000000,G,2340,Walt Disney Studios Motion Pictures
Alvin and the Chipmunks: Chipwrecked,2011,12,23244298,133110742,5.73,75000000,G,3734,Twentieth Century Fox
Real Steel,2011,10,27319677,85468508,3.13,110000000,PG-13,3440,Walt Disney Studios Motion Pictures
"Crazy, Stupid, Love.",2011,7,19104303,84351197,4.42,50000000,PG-13,3020,Warner Bros
Battle Los Angeles,2011,3,35576192,83552429,2.35,70000000,PG-13,3417,Sony Pictures Releasing
Immortals,2011,11,32206425,83504017,2.59,75000000,R,3120,Relativity Media
The Muppets,2011,11,29239026,88631237,3.03,45000000,PG,3440,Walt Disney Studios Motion Pictures
Zookeeper,2011,7,20065617,80360843,4.0,80000000,PG,3482,Sony Pictures Releasing
Limitless,2011,3,18907025,79249455,4.19,27000000,PG-13,2838,Relativity Media
Tower Heist,2011,11,24025190,78046570,3.25,75000000,PG-13,3370,Universal Pictures
Contagion,2011,9,22403596,75658097,3.38,60000000,PG-13,3222,Warner Bros
Moneyball,2011,9,19501302,75605492,3.88,50000000,PG-13,3018,Sony Pictures Releasing
Justin Bieber: Never Say Never,2011,2,29514054,73013910,2.47,13000000,G,3118,Paramount Pictures
Dolphin Tale,2011,9,19152401,72286779,3.77,37000000,PG,3515,Warner Bros
Jack and Jill,2011,11,25003575,74158157,2.97,79000000,PG,3438,Sony Pictures Releasing
No Strings Attached,2011,1,19652921,70662220,3.6,25000000,R,3050,Paramount Pictures
Mr. Popper's Penguins,2011,6,18444277,68224452,3.7,55000000,PG,3342,Twentieth Century Fox
Black Swan,2011,12,1143803,106954678,93.51,13000000,R,2407,Fox Searchlight Pictures
Little Fockers,2011,12,30833665,148438600,4.81,100000000,PG-13,3675,Universal Pictures
Unknown,2011,2,21856389,63686397,2.91,30000000,PG-13,3043,Warner Bros
The Adjustment Bureau,2011,3,21157730,62495645,2.95,50200000,PG-13,2847,Universal Pictures
Happy Feet Two,2011,11,21237068,64006466,3.01,135000000,PG,3611,Warner Bros
Water for Elephants,2011,4,16842353,58709717,3.49,38000000,PG-13,2820,Twentieth Century Fox
The Lincoln Lawyer,2011,3,13206435,58009200,4.39,40000000,R,2707,Lionsgate
