movie_title,release_year,release_month,opening_gross,domestic_lifetime_gross,legs_ratio,budget,mpaa_rating,widest_theaters,distributor
Finding Dory,2016,6,135060273,486295561,3.6,200000000,PG,4305,Walt Disney Studios Motion Pictures
Rogue One: A Star Wars Story,2016,12,155081681,532177324,3.43,200000000,PG-13,4157,Walt Disney Studios Motion Pictures
Captain America: Civil War,2016,5,179139142,408084349,2.28,250000000,PG-13,4226,Walt Disney Studios Motion Pictures
The Secret Life of Pets,2016,7,104352905,368623860,3.53,75000000,PG,4381,Universal Pictures
The Jungle Book,2016,4,103261464,364001123,3.53,175000000,PG,4144,Walt Disney Studios Motion Pictures
Deadpool,2016,2,132434639,363070709,2.74,58000000,R,3856,Twentieth Century Fox
Zootopia,2016,3,75063401,341268248,4.55,150000000,PG,3959,Walt Disney Studios Motion Pictures
Batman v Superman: Dawn of Justice,2016,3,166007347,330360194,1.99,250000000,PG-13,4256,Warner Bros
Suicide Squad,2016,8,133682248,325100054,2.43,175000000,PG-13,4255,Warner Bros
Star Wars: Episode VII - The Force Awakens,2016,12,247966675,936662225,3.78,245000000,PG-13,4134,Walt Disney Studios Motion Pictures
Doctor Strange,2016,11,85058311,232641920,2.74,165000000,PG-13,3882,Walt Disney Studios Motion Pictures
Fantastic Beasts and Where to Find Them,2016,11,74403387,234037575,3.15,180000000,PG-13,4144,Warner Bros
Moana,2016,11,56631401,248757044,4.39,150000000,PG,3875,Walt Disney Studios Motion Pictures
The Revenant,2016,12,39826840,183637894,4.61,135000000,R,3711,Twentieth Century Fox
Jason Bourne,2016,7,59215365,162434410,2.74,120000000,PG-13,4039,Universal Pictures
Star Trek Beyond,2016,7,59253211,158848340,2.68,185000000,PG-13,3928,Paramount Pictures
X-Men: Apocalypse,2016,5,65769562,155442489,2.36,178000000,PG-13,4153,Twentieth Century Fox
Sing,2016,12,35258145,270395425,7.67,75000000,PG,4029,Universal Pictures
Trolls,2016,11,46581142,153856089,3.3,125000000,PG,4066,Twentieth Century Fox
Kung Fu Panda 3,2016,1,41282042,143528619,3.48,145000000,PG,3987,Twentieth Century Fox
Ghostbusters,2016,7,46018755,128350574,2.79,144000000,PG-13,3963,Sony Pictures Releasing
Central Intelligence,2016,6,35535250,127440871,3.59,50000000,PG-13,3508,Warner Bros
The Legend of Tarzan,2016,7,38527856,126643061,3.29,180000000,PG-13,3591,Warner Bros
Sully,2016,9,35028301,125070033,3.57,60000000,PG-13,3955,Warner Bros
Bad Moms,2016,7,23817340,113257297,4.76,20000000,R,3215,STX Entertainment
The Angry Birds Movie,2016,5,38155177,107509366,2.82,73000000,PG,3932,Sony Pictures Releasing
Independence Day: Resurgence,2016,6,41039944,103144286,2.51,165000000,PG-13,4130,Twentieth Century Fox
The Conjuring 2,2016,6,40406314,102470008,2.54,40000000,R,3356,Warner Bros
Sausage Party,2016,8,34263534,97685686,2.85,19000000,R,3135,Sony Pictures Releasing
The Magnificent Seven,2016,9,34703397,93432655,2.69,90000000,PG-13,3696,Sony Pictures Releasing
Arrival,2016,11,24052257,100546139,4.18,47000000,PG-13,3115,Paramount Pictures
Ride Along 2,2016,1,35243087,91221830,2.59,40000000,PG-13,3192,Universal Pictures
Don't Breathe,2016,8,26411706,89217875,3.38,9900000,R,3384,Screen Gems
Miss Peregrine's Home for Peculiar Children,2016,9,28505373,87242834,3.06,110000000,PG-13,3835,Twentieth Century Fox
The Accountant,2016,10,24710273,86260045,3.49,44000000,R,3402,Warner Bros
Daddy's Home,2016,12,38740204,150357137,3.88,50000000,PG-13,3483,Paramount Pictures
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,6,35316116,82051601,2.32,135000000,PG-13,4071,Paramount Pictures
The Purge: Election Year,2016,7,31515912,79213375,2.51,10000000,R,2821,Universal Pictures
