movie_title,release_year,release_month,opening_gross,domestic_lifetime_gross,legs_ratio,budget,mpaa_rating,widest_theaters,distributor
Top Gun: Maverick,2022,5,126707459.0,718732821,5.67,170000000.0,PG-13,4751,Paramount Pictures
Black Panther: Wakanda Forever,2022,11,181339761.0,453829060,2.5,250000000.0,PG-13,4396,Walt Disney Studios Motion Pictures
Doctor Strange in the Multiverse of Madness,2022,5,187420998.0,411331607,2.19,200000000.0,PG-13,4534,Walt Disney Studios Motion Pictures
Avatar: The Way of Water,2022,12,134100226.0,684075767,5.1,350000000.0,PG-13,4340,20th Century Studios
Jurassic World: Dominion,2022,6,145075625.0,376851080,2.6,185000000.0,PG-13,4697,Universal Pictures
Minions: The Rise of Gru,2022,7,107010140.0,370549695,3.46,80000000.0,PG,4427,Universal Pictures
The Batman,2022,3,134008624.0,369345583,2.76,185000000.0,PG-13,4417,Warner Bros
Thor: Love and Thunder,2022,7,144165107.0,343256830,2.38,250000000.0,PG-13,4375,Walt Disney Studios Motion Pictures
Spider-Man: No Way Home,2022,12,260138569.0,804793477,3.09,200000000.0,PG-13,4336,Sony Pictures Releasing
Spider-Man: No Way Home,2022,12,5400000.0,804793477,149.04,200000000.0,PG-13,4336,Sony Pictures Releasing
Sonic the Hedgehog 2,2022,4,72105176.0,190872904,2.65,90000000.0,PG,4258,Paramount Pictures
Black Adam,2022,10,67004323.0,168152111,2.51,195000000.0,PG-13,4402,Warner Bros
Elvis,2022,6,31211579.0,151040048,4.84,85000000.0,PG-13,3932,Warner Bros
Uncharted,2022,2,44010155.0,148648820,3.38,120000000.0,PG-13,4275,Sony Pictures Releasing
Nope,2022,7,44366410.0,123277080,2.78,68000000.0,R,3807,Universal Pictures
Lightyear,2022,6,50577428.0,118307188,2.34,200000000.0,PG,4255,Walt Disney Studios Motion Pictures
Smile,2022,9,22609925.0,105935048,4.69,17000000.0,R,3659,Paramount Pictures
The Lost City,2022,3,30453269.0,105344029,3.46,68000000.0,PG-13,4283,Paramount Pictures
Bullet Train,2022,8,30030156.0,103368602,3.44,90000000.0,R,4357,Sony Pictures Releasing
The Bad Guys,2022,4,23951753.0,97459240,4.07,80000000.0,PG,4042,Universal Pictures
Fantastic Beasts: The Secrets of Dumbledore,2022,4,42151256.0,95850844,2.27,200000000.0,PG-13,4245,Warner Bros
