movie_title,release_year,release_month,opening_gross,domestic_lifetime_gross,legs_ratio,budget,mpaa_rating,widest_theaters,distributor
The Dark Knight,2008,7,158411483.0,533345358,3.37,185000000.0,PG-13,4366,Warner Bros
Iron Man,2008,5,98618668.0,318604126,3.23,140000000.0,PG-13,4154,Paramount Pictures
Indiana Jones and the Kingdom of the Crystal Skull,2008,5,100137835.0,317101119,3.17,185000000.0,PG-13,4264,Paramount Pictures
Hancock,2008,7,62603879.0,227946274,3.64,150000000.0,PG-13,3965,Sony Pictures Releasing
WALLÂ·E,2008,6,,223808164,,,,3992,Walt Disney Studios Motion Pictures
Kung Fu Panda,2008,6,60239130.0,215727546,3.58,130000000.0,PG,4136,DreamWorks
Madagascar: Escape 2 Africa,2008,11,63106589.0,180010950,2.85,150000000.0,PG,4065,DreamWorks
Twilight,2008,11,69637740.0,192769854,2.77,37000000.0,PG-13,3649,Summit Entertainment
Quantum of Solace,2008,11,67528882.0,168368427,2.49,200000000.0,PG-13,3501,Sony Pictures Releasing
Horton Hears a Who!,2008,3,45012235.0,154529439,3.43,85000000.0,G,3961,Twentieth Century Fox
Sex and the City,2008,5,57038404.0,152647258,2.68,65000000.0,R,3325,Warner Bros
Mamma Mia!,2008,7,27751240.0,144290968,5.2,52000000.0,PG-13,3194,Universal Pictures
The Chronicles of Narnia: Prince Caspian,2008,5,55034805.0,141621490,2.57,225000000.0,PG,3929,Walt Disney Studios Motion Pictures
The Incredible Hulk,2008,6,55414070.0,134806913,2.43,150000000.0,PG-13,3508,Universal Pictures
Wanted,2008,6,50927085.0,134508551,2.64,75000000.0,R,3185,Universal Pictures
Get Smart,2008,6,38683480.0,130319208,3.37,80000000.0,PG-13,3915,Warner Bros
Juno,2008,12,413669.0,143495265,346.88,7500000.0,PG-13,2534,Fox Searchlight Pictures
Four Christmases,2008,11,31069826.0,120146040,3.87,80000000.0,PG-13,3540,Warner Bros
Tropic Thunder,2008,8,25812796.0,110515313,4.28,92000000.0,R,3473,DreamWorks
Bolt,2008,11,26223128.0,114053579,4.35,150000000.0,PG,3654,Walt Disney Studios Motion Pictures
The Mummy: Tomb of the Dragon Emperor,2008,8,40457770.0,102491776,2.53,145000000.0,PG-13,3778,Universal Pictures
Journey to the Center of the Earth,2008,7,21018141.0,101704370,4.84,60000000.0,PG,2830,Warner Bros
Eagle Eye,2008,9,29150721.0,101440743,3.48,80000000.0,PG-13,3614,DreamWorks
Step Brothers,2008,7,30940732.0,100468793,3.25,65000000.0,R,3182,Sony Pictures Releasing
You Don't Mess with the Zohan,2008,6,38531192.0,100018837,2.6,90000000.0,PG-13,3466,Sony Pictures Releasing
"10,000 BC",2008,3,35867488.0,94784201,2.64,105000000.0,PG-13,3454,Warner Bros
