movie_title,release_year,release_month,opening_gross,domestic_lifetime_gross,legs_ratio,budget,mpaa_rating,widest_theaters,distributor
Bad Boys for Life,2020,1.0,62504417,206305244,3.3,90000000,R,3775,Sony Pictures Releasing
1917,2020,12.0,37000397,159227644,4.3,95000000,R,3987,Universal Pictures
Sonic the Hedgehog,2020,2.0,58018348,148974665,2.57,85000000,PG,4198,Paramount Pictures
Jumanji: The Next Level,2020,12.0,59251536,320314960,5.41,125000000,PG-13,4227,Sony Pictures Releasing
Star Wars: Episode IX - The Rise of Skywalker,2020,12.0,177383010,515202542,2.9,275000000,PG-13,4406,Walt Disney Studios Motion Pictures
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2020,2.0,33010017,84158461,2.55,84000000,R,4236,Warner Bros
Dolittle,2020,1.0,21844045,77047065,3.53,175000000,PG,4155,Universal Pictures
Little Women,2020,12.0,16755222,108101214,6.45,40000000,PG,3308,Sony Pictures Releasing
The Invisible Man,2020,2.0,28205665,70410000,2.5,7000000,R,3636,Universal Pictures
The Call of the Wild,2020,2.0,24791624,62342368,2.51,135000000,PG,3914,20th Century Studios
Onward,2020,3.0,39119861,61555145,1.57,175000000,PG,4310,Walt Disney Studios Motion Pictures
Tenet,2020,9.0,20200000,58504105,2.9,200000000,PG-13,2930,Warner Bros
Knives Out,2020,11.0,26769548,165363234,6.18,40000000,PG-13,3461,Lionsgate
Frozen II,2020,11.0,130263358,477373578,3.66,150000000,PG,4440,Walt Disney Studios Motion Pictures
Spies in Disguise,2020,12.0,13352112,66757013,5.0,100000000,PG,3502,Twentieth Century Fox
The Gentlemen,2020,1.0,10651884,36471795,3.42,22000000,R,2675,STX Entertainment
Just Mercy,2020,12.0,9720000,36001502,3.7,25000000,PG-13,2457,Warner Bros
The Croods: A New Age,2020,11.0,9724370,58568815,6.02,65000000,PG,2211,Universal Pictures
Parasite,2020,10.0,393216,53369749,135.73,11400000,R,2001,Neon
Fantasy Island,2020,2.0,12310428,27309289,2.22,7000000,PG-13,2784,Sony Pictures Releasing
Uncut Gems,2020,12.0,537242,50023780,93.11,19000000,R,2686,A24
The New Mutants,2020,8.0,7037017,23852659,3.39,67000000,PG-13,2754,20th Century Studios
Wonder Woman 1984,2020,12.0,16701597,46801036,2.8,200000000,PG-13,2218,Warner Bros
Like a Boss,2020,1.0,10013101,22169514,2.21,29000000,R,3081,Paramount Pictures
The Grudge,2020,1.0,11403062,21221803,1.86,10000000,R,2642,Sony Pictures Releasing
Unhinged,2020,8.0,4000370,20831465,5.21,33000000,R,2402,Solstice Studios
The Photograph,2020,2.0,12183160,20578185,1.69,8000000,PG-13,2516,Universal Pictures
The War with Grandpa,2020,10.0,3623880,21277892,5.87,38000000,PG,2365,101 Studios
Underwater,2020,1.0,7008344,17291078,2.47,50000000,PG-13,2791,Twentieth Century Fox
The Turning,2020,1.0,6950280,15472775,2.23,14000000,PG-13,2571,Universal Pictures
Gretel & Hansel,2020,1.0,6153817,15347654,2.49,5000000,PG-13,3007,United Artists Releasing
Honest Thief,2020,10.0,4115245,14163574,3.44,30000000,PG-13,2502,Open Road Films (II)
My Hero Academia: Heroes Rising,2020,2.0,5891252,13304000,2.26,5000000,PG-13,1231,FUNimation Entertainment
Bombshell,2020,12.0,333000,31762808,95.38,32000000,R,1721,Lionsgate
The Way Back,2020,,8170315,13590514,1.66,21000000,R,2718,Warner Bros
Brahms: The Boy II,2020,2.0,5901003,12611536,2.14,10000000,PG-13,2151,STX Entertainment
Jojo Rabbit,2020,10.0,349555,33370906,95.47,14000000,PG-13,1173,Fox Searchlight Pictures
Impractical Jokers: The Movie,2020,2.0,2616250,10691091,4.09,3000000,PG-13,1900,truTV
Ford v Ferrari,2020,11.0,31474958,117624357,3.74,97600000,PG-13,3746,Twentieth Century Fox
Emma.,2020,2.0,231107,10055355,43.51,10000000,PG,1732,Focus Features
Bloodshot,2020,3.0,9176145,12561824,1.37,45000000,PG-13,2861,Sony Pictures Releasing
I Still Believe,2020,3.0,9103428,9868521,1.08,12000000,PG,3250,Lionsgate
Come Play,2020,10.0,3119875,10475990,3.36,9000000,PG-13,2183,Focus Features
Let Him Go,2020,11.0,4000470,9358025,2.34,8000000,R,2458,Focus Features
Freaky,2020,11.0,3684870,9030855,2.45,6000000,R,2472,Universal Pictures
Downhill,2020,2.0,4611417,8287061,1.8,20000000,R,2311,Searchlight Pictures
Weathering with You,2020,1.0,1814674,8056636,4.44,11000000,PG-13,1020,GKIDS
Cats,2020,12.0,6619870,27166770,4.1,95000000,PG,3380,Universal Pictures
The Hunt,2020,3.0,5321980,5812500,1.09,14000000,R,3028,Universal Pictures
The Rhythm Section,2020,1.0,2715384,5437971,2.0,50000000,R,3049,Paramount Pictures
Monster Hunter,2020,12.0,2201269,15162470,6.89,60000000,PG-13,1817,Screen Gems
A Beautiful Day in the Neighborhood,2020,11.0,13251539,61704055,4.66,25000000,PG,3491,Sony Pictures Releasing
Hocus Pocus,2020,10.0,1924370,43846,0.02,28000000,PG,2570,Walt Disney Studios Motion Pictures
Richard Jewell,2020,12.0,4680222,22345542,4.77,45000000,R,2502,Warner Bros
The SpongeBob Movie: Sponge on the Run,2020,8.0,1000000,4810790,4.81,60000000,PG,326,Paramount Pictures
The Broken Hearts Gallery,2020,9.0,1125007,4067442,3.62,8000000,PG-13,2221,TriStar Pictures
Infidel,2020,9.0,1337344,4051990,3.03,5000000,R,1885,Cloudburst Entertainment
News of the World,2020,12.0,2253310,12668325,5.62,38000000,PG-13,1986,Universal Pictures
Portrait of a Lady on Fire,2020,12.0,42000,3759854,89.52,5000000,R,334,Neon
Bill & Ted Face the Music,2020,8.0,1120000,3439660,3.07,25000000,PG-13,1007,United Artists Releasing
2020 Oscar Nominated Short Films,2020,1.0,1111663,3306611,2.97,2000000,NR,536,Magnolia Pictures
Queen & Slim,2020,11.0,11890000,43808310,3.68,17000000,R,1715,Universal Pictures
The Empty Man,2020,10.0,1310310,2992948,2.28,16000000,R,2051,20th Century Studios
My Boyfriend's Meds,2020,2.0,1010370,2971116,2.94,2000000,R,350,Pantelion Films
The Last Full Measure,2020,1.0,273250,2949212,10.79,20000000,R,617,Roadside Attractions
