movie_title,release_year,release_month,opening_gross,domestic_lifetime_gross,legs_ratio,budget,mpaa_rating,widest_theaters,distributor
Pirates of the Caribbean: Dead Man's Chest,2006,7,135634554,423315812,3.12,225000000,PG-13,4133,Walt Disney Studios Motion Pictures
Cars,2006,6,60119509,244082982,4.06,120000000,G,3988,Walt Disney Studios Motion Pictures
X-Men: The Last Stand,2006,5,102750665,234362462,2.28,210000000,PG-13,3714,Twentieth Century Fox
The Da Vinci Code,2006,5,77073388,217536138,2.82,125000000,PG-13,3757,Sony Pictures Releasing
Superman Returns,2006,6,52535096,200081192,3.81,204000000,PG-13,4065,Warner Bros
Ice Age 2: The Meltdown,2006,3,68033544,195330621,2.87,80000000,PG,3969,Twentieth Century Fox
Happy Feet,2006,11,41533432,198000317,4.77,100000000,PG,3804,Warner Bros
Over the Hedge,2006,5,38457003,155019340,4.03,80000000,PG,4093,DreamWorks
Casino Royale,2006,11,40833156,167445960,4.1,150000000,PG-13,3443,Sony Pictures Releasing
Talladega Nights: The Ballad of Ricky Bobby,2006,8,47042215,148213377,3.15,72500000,PG-13,3807,Sony Pictures Releasing
Click,2006,6,40011365,137355633,3.43,82500000,PG-13,3764,Revolution Studios
Mission: Impossible III,2006,5,47743273,134029801,2.81,150000000,PG-13,4059,Paramount Pictures
Borat,2006,11,26455463,128505958,4.86,18000000,R,2611,Twentieth Century Fox
The Devil Wears Prada,2006,6,27537244,124740460,4.53,35000000,PG-13,2882,Twentieth Century Fox
The Departed,2006,10,26887467,132384315,4.92,90000000,R,3017,Warner Bros
The Break-Up,2006,6,39172785,118703275,3.03,52000000,PG-13,3146,Universal Pictures
Night at the Museum,2006,12,30433781,250863268,8.24,110000000,PG,3768,Twentieth Century Fox
The Pursuit of Happyness,2006,12,26541709,163566459,6.16,55000000,PG-13,3169,Sony Pictures Releasing
Scary Movie 4,2006,4,40222875,90710620,2.26,45000000,PG-13,3674,Dimension Films
Failure to Launch,2006,3,24411322,88715192,3.63,50000000,PG-13,3202,Paramount Pictures
Inside Man,2006,3,28954945,88513495,3.06,45000000,R,2867,Universal Pictures
Open Season,2006,9,23624548,85105259,3.6,85000000,PG,3833,Sony Pictures Releasing
The Santa Clause 3: The Escape Clause,2006,11,19504038,84500122,4.33,12000000,G,3458,Walt Disney Studios Motion Pictures
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2006,12,65556312,291710957,4.45,180000000,PG,3853,Walt Disney Studios Motion Pictures
The Pink Panther,2006,2,20220412,82226474,4.07,80000000,PG,3477,Sony Pictures Releasing
Eight Below,2006,2,20188176,81612565,4.04,40000000,PG,3122,Walt Disney Studios Motion Pictures
Saw III,2006,10,33610391,80238724,2.39,10000000,R,3167,Lionsgate
Nacho Libre,2006,6,28309599,80197993,2.83,35000000,PG,3083,Paramount Pictures
"You, Me and Dupree",2006,7,21525560,75628110,3.51,54000000,PG-13,3137,Universal Pictures
Monster House,2006,7,22217226,73661010,3.32,75000000,PG,3553,Sony Pictures Releasing
Jackass Number Two,2006,9,29002002,72778712,2.51,11500000,R,3063,Paramount Pictures
Barnyard,2006,8,15820864,72637803,4.59,51000000,PG,3311,Paramount Pictures
RV,2006,4,16414767,71726025,4.37,50000000,PG,3651,Sony Pictures Releasing
Brokeback Mountain,2006,12,547425,83043761,151.7,14000000,R,2089,Focus Features
V for Vendetta,2006,3,25642640,70511035,2.75,54000000,R,3365,Warner Bros
World Trade Center,2006,8,18730762,70278893,3.75,63000000,PG-13,3021,Paramount Pictures
Big Momma's House 2,2006,1,27736056,70165972,2.53,40000000,PG-13,3261,Twentieth Century Fox
Step Up,2006,8,20659573,65328121,3.16,12000000,PG-13,2647,Walt Disney Studios Motion Pictures
Miami Vice,2006,7,25723815,63450470,2.47,135000000,R,3026,Universal Pictures
Madea's Family Reunion,2006,2,30030661,63257940,2.11,6000000,PG-13,2194,Lionsgate
The Fast and the Furious: Tokyo Drift,2006,6,23973840,62514415,2.61,85000000,PG-13,3030,Universal Pictures
Underworld: Evolution,2006,1,26857181,62318875,2.32,50000000,R,3207,Screen Gems
Flushed Away,2006,11,18814323,64665672,3.44,149000000,PG,3707,DreamWorks
Deja Vu,2006,11,20574802,64038616,3.11,75000000,PG-13,3108,Walt Disney Studios Motion Pictures
The Shaggy Dog,2006,3,16310058,61123569,3.75,60000000,PG,3501,Walt Disney Studios Motion Pictures
Poseidon,2006,5,22155410,60674817,2.74,160000000,PG-13,3555,Warner Bros
The Benchwarmers,2006,4,19656429,59843754,3.04,33000000,PG-13,3282,Revolution Studios
Little Miss Sunshine,2006,7,370998,59891098,161.43,8000000,R,1602,Fox Searchlight Pictures
King Kong,2006,12,50130145,218080025,4.35,207000000,PG-13,3627,Universal Pictures
Little Man,2006,7,21613176,58645052,2.71,64000000,PG-13,2537,Revolution Studios
Curious George,2006,2,14703405,58360760,3.97,50000000,G,2609,Universal Pictures
Invincible,2006,8,17031122,57806952,3.39,30000000,PG,2987,Walt Disney Studios Motion Pictures
Eragon,2006,12,23239907,75030163,3.23,100000000,PG,3030,Twentieth Century Fox
Fun with Dick and Jane,2006,12,14383515,110332737,7.67,100000000,PG-13,3239,Sony Pictures Releasing
The Guardian,2006,9,18006064,55011732,3.06,70000000,PG-13,3241,Walt Disney Studios Motion Pictures
The Omen,2006,6,16026496,54607383,3.41,25000000,R,2723,Twentieth Century Fox
Final Destination 3,2006,2,19173094,54098051,2.82,25000000,R,2880,New Line Cinema
Charlotte's Web,2006,12,11457353,82985708,7.24,85000000,G,3745,Paramount Pictures
The Prestige,2006,10,14801808,53089891,3.59,40000000,PG-13,2305,Walt Disney Studios Motion Pictures
The Lake House,2006,6,13616196,52330111,3.84,40000000,PG,2645,Warner Bros
Hoodwinked,2006,12,12401900,51386611,4.14,8000000,PG,3020,The Weinstein Company
The Holiday,2006,12,12778913,63224849,4.95,85000000,PG-13,2698,Sony Pictures Releasing
Firewall,2006,2,13635463,48751189,3.58,50000000,PG-13,2840,Warner Bros
Date Movie,2006,2,19076261,48548426,2.54,20000000,PG-13,2898,Twentieth Century Fox
Rocky Balboa,2006,12,12158168,70270943,5.78,24000000,PG-13,3019,Metro-Goldwyn-Mayer (MGM)
When a Stranger Calls,2006,2,21607203,47860214,2.22,15000000,PG-13,3004,Screen Gems
Hostel,2006,1,19556099,47326473,2.42,4800000,R,2337,Lionsgate
Nanny McPhee,2006,1,14503650,47144110,3.25,25000000,PG,2148,Universal Pictures
Silent Hill,2006,4,20152598,46982632,2.33,50000000,R,2932,Sony Pictures Releasing
Apocalypto,2006,12,15005604,50866635,3.39,40000000,R,2465,Walt Disney Studios Motion Pictures
Glory Road,2006,1,13594734,42647449,3.14,30000000,PG,2397,Walt Disney Studios Motion Pictures
Lady in the Water,2006,7,18044396,42285169,2.34,70000000,PG-13,3235,Warner Bros
The Hills Have Eyes,2006,3,15708238,41778863,2.66,15000000,R,2621,Fox Searchlight Pictures
John Tucker Must Die,2006,7,14322502,41011711,2.86,18000000,PG-13,2566,Twentieth Century Fox
Stranger Than Fiction,2006,11,13401344,40660952,3.03,30000000,PG-13,2270,Sony Pictures Releasing
The Illusionist,2006,8,927159,39868642,43.0,16500000,PG-13,1438,Yari Film Group Releasing
The Texas Chainsaw Massacre: The Beginning,2006,10,18508228,39517763,2.14,13000000,R,2820,New Line Cinema
The Grudge 2,2006,10,20875072,39143839,1.88,20000000,PG-13,3214,Sony Pictures Releasing
Gridiron Gang,2006,9,14414630,38432823,2.67,30000000,PG-13,3510,Sony Pictures Releasing
Last Holiday,2006,1,12806188,38399961,3.0,45000000,PG-13,2514,Paramount Pictures
The Wild,2006,4,9684821,37384046,3.86,80000000,G,2854,Walt Disney Studios Motion Pictures
Man of the Year,2006,10,12301075,37327390,3.03,20000000,PG-13,2626,Universal Pictures
Dreamgirls,2006,12,378950,103365956,272.77,80000000,PG-13,2797,DreamWorks
16 Blocks,2006,3,11855260,36895141,3.11,52000000,PG-13,2706,Warner Bros
Cheaper by the Dozen 2,2006,12,9309387,82571173,8.87,60000000,PG,3211,Twentieth Century Fox
The Nativity Story,2006,12,7801175,37629831,4.82,35000000,PG,3083,New Line Cinema
Accepted,2006,8,10023045,36323505,3.62,23000000,PG-13,2917,Universal Pictures
The Sentinel,2006,4,14413631,36280697,2.52,60000000,PG-13,2851,Twentieth Century Fox
Blood Diamond,2006,12,8648324,57377916,6.63,100000000,R,1920,Warner Bros
Munich,2006,12,4152260,47403685,11.42,70000000,R,1498,Universal Pictures
The Good Shepherd,2006,12,10033960,59952835,5.97,85000000,R,2250,Universal Pictures
Deck the Halls,2006,11,12022830,35093569,2.92,37000000,PG,3205,Twentieth Century Fox
Take the Lead,2006,4,12051322,34742066,2.88,30000000,PG-13,3009,New Line Cinema
Snakes on a Plane,2006,8,15206301,34020814,2.24,33000000,R,3555,New Line Cinema
She's the Man,2006,3,10712512,33741133,3.15,20000000,PG-13,2631,DreamWorks
Flags of Our Fathers,2006,10,10245155,33602376,3.28,90000000,R,2375,DreamWorks
Memoirs of a Geisha,2006,12,682504,57490508,84.23,85000000,PG-13,1654,Sony Pictures Releasing
United 93,2006,4,11478360,31483450,2.74,15000000,R,1871,Universal Pictures
Walk the Line,2006,11,22347341,119519402,5.35,28000000,PG-13,3160,Twentieth Century Fox
Employee of the Month,2006,10,11835252,28444855,2.4,12000000,PG-13,2579,Lionsgate
