movie_title,release_year,release_month,opening_gross,domestic_lifetime_gross,legs_ratio,budget,mpaa_rating,widest_theaters,distributor
Spider-Man 3,2007,5,151116516,336530303,2.23,258000000,PG-13,4324,Sony Pictures Releasing
Shrek the Third,2007,5,121629270,322719944,2.65,160000000,PG,4172,DreamWorks
Transformers,2007,7,70502384,319246193,4.53,150000000,PG-13,4050,DreamWorks
Pirates of the Caribbean: At World's End,2007,5,114732820,309420425,2.7,300000000,PG-13,4362,Walt Disney Studios Motion Pictures
Harry Potter and the Order of the Phoenix,2007,7,77108414,292004738,3.79,150000000,PG-13,4285,Warner Bros
The Bourne Ultimatum,2007,8,69283690,227471070,3.28,110000000,PG-13,3701,Universal Pictures
300,2007,3,70885301,210614939,2.97,65000000,R,3280,Warner Bros
Ratatouille,2007,6,47027395,206445654,4.39,150000000,G,3940,Walt Disney Studios Motion Pictures
I Am Legend,2007,12,77211321,256393010,3.32,150000000,PG-13,3648,Warner Bros
The Simpsons Movie,2007,7,74036787,183135014,2.47,75000000,PG-13,3926,Twentieth Century Fox
Wild Hogs,2007,3,39603035,168273550,4.25,60000000,PG-13,3401,Walt Disney Studios Motion Pictures
Knocked Up,2007,6,30690993,148768917,4.85,30000000,R,2975,Universal Pictures
Alvin and the Chipmunks,2007,12,44307417,217326974,4.9,60000000,PG,3499,Twentieth Century Fox
Rush Hour 3,2007,8,49100156,140125968,2.85,140000000,PG-13,3778,New Line Cinema
Night at the Museum,2007,12,30433781,250863268,8.24,110000000,PG,3768,Twentieth Century Fox
Live Free or Die Hard,2007,6,33369774,134529403,4.03,110000000,PG-13,3411,Twentieth Century Fox
National Treasure: Book of Secrets,2007,12,44783840,219964115,4.91,130000000,PG,3832,Walt Disney Studios Motion Pictures
Fantastic Four: Rise of the Silver Surfer,2007,6,58051684,131921738,2.27,130000000,PG-13,3963,Twentieth Century Fox
American Gangster,2007,11,43565115,130164645,2.99,100000000,R,3110,Universal Pictures
Bee Movie,2007,11,38021044,126631277,3.33,150000000,PG,3984,DreamWorks
Superbad,2007,8,33052411,121463226,3.67,20000000,R,3069,Sony Pictures Releasing
I Now Pronounce You Chuck & Larry,2007,7,34233750,120059556,3.51,85000000,PG-13,3501,Universal Pictures
Hairspray,2007,7,27476745,118871849,4.33,75000000,PG,3121,New Line Cinema
Blades of Glory,2007,3,33014202,118594548,3.59,61000000,PG-13,3467,DreamWorks
Ocean's Thirteen,2007,6,36133403,117154724,3.24,85000000,PG-13,3565,Warner Bros
Ghost Rider,2007,2,45388836,115802596,2.55,110000000,PG-13,3620,Sony Pictures Releasing
Enchanted,2007,11,34440317,127807262,3.71,85000000,PG,3730,Walt Disney Studios Motion Pictures
Evan Almighty,2007,6,31192615,100462298,3.22,175000000,PG,3636,Universal Pictures
Meet the Robinsons,2007,3,25123781,97822171,3.89,150000000,G,3435,Walt Disney Studios Motion Pictures
Norbit,2007,2,34164654,95673607,2.8,60000000,PG-13,3145,DreamWorks
The Game Plan,2007,9,22950971,90648202,3.95,22000000,PG,3342,Walt Disney Studios Motion Pictures
Bridge to Terabithia,2007,2,22554158,82272442,3.65,20000000,PG,3210,Walt Disney Studios Motion Pictures
Beowulf,2007,11,27515871,82280579,2.99,150000000,PG-13,3249,Paramount Pictures
Disturbia,2007,4,22224982,80209692,3.61,20000000,PG-13,3132,DreamWorks
1408,2007,6,20617667,71985628,3.49,25000000,PG-13,2733,Metro-Goldwyn-Mayer (MGM)
