movie_title,release_year,release_month,opening_gross,domestic_lifetime_gross,legs_ratio,budget,mpaa_rating,widest_theaters,distributor
Inside Out 2,2024,6,154201142.0,652980194,4.23,200000000.0,PG,4440,Walt Disney Studios Motion Pictures
Deadpool & Wolverine,2024,7,211439241.0,636745858,3.01,200000000.0,R,4330,Walt Disney Studios Motion Pictures
Wicked,2024,11,114047560.0,474983975,4.16,150000000.0,PG,3888,Universal Pictures
Moana 2,2024,11,135471114.0,460405297,3.4,150000000.0,PG,4200,Walt Disney Studios Motion Pictures
Despicable Me 4,2024,7,75040165.0,361004205,4.81,100000000.0,PG,4449,Universal Pictures
Beetlejuice Beetlejuice,2024,9,111014354.0,294100435,2.65,100000000.0,PG-13,4575,Warner Bros
Dune: Part Two,2024,3,82505391.0,282144358,3.42,190000000.0,PG-13,4074,Warner Bros
Twisters,2024,7,81251107.0,267762265,3.3,155000000.0,PG-13,4170,Universal Pictures
Godzilla x Kong: The New Empire,2024,3,80006561.0,196350016,2.45,135000000.0,PG-13,3948,Warner Bros
Kung Fu Panda 4,2024,3,57989905.0,193590620,3.34,85000000.0,PG,4067,Universal Pictures
Bad Boys: Ride or Die,2024,6,56529232.0,193573217,3.42,100000000.0,R,3885,Sony Pictures Releasing
Kingdom of the Planet of the Apes,2024,5,58404285.0,171130165,2.93,160000000.0,PG-13,4075,20th Century Studios
Gladiator II,2024,11,65715562.0,172438016,2.62,210000000.0,R,3580,Paramount Pictures
Sonic the Hedgehog 3,2024,12,70000000.0,236115100,3.37,122000000.0,PG,3769,Paramount Pictures
It Ends with Us,2024,8,50003471.0,148518266,2.97,25000000.0,PG-13,3839,Sony Pictures Releasing
The Wild Robot,2024,9,35792225.0,143901945,4.02,78000000.0,PG,3997,Universal Pictures
Venom: The Last Dance,2024,10,51007804.0,139755882,2.74,120000000.0,PG-13,4131,Sony Pictures Releasing
A Quiet Place: Day One,2024,6,52200465.0,139051884,2.66,67000000.0,PG-13,3708,Paramount Pictures
Mufasa: The Lion King,2024,12,31000000.0,254567693,8.21,200000000.0,PG,4100,Walt Disney Studios Motion Pictures
Ghostbusters: Frozen Empire,2024,3,45007325.0,113376590,2.52,100000000.0,PG-13,4345,Sony Pictures Releasing
IF,2024,5,33711825.0,111375918,3.3,110000000.0,PG,4068,Paramount Pictures
Alien: Romulus,2024,8,41504315.0,105313091,2.54,80000000.0,R,3915,20th Century Studios
Bob Marley: One Love,2024,2,28625348.0,96981216,3.39,70000000.0,PG-13,3597,Paramount Pictures
Red One,2024,11,34071232.0,97000759,2.85,250000000.0,PG-13,4032,Amazon MGM Studios
The Fall Guy,2024,5,27747315.0,92900355,3.35,125000000.0,PG-13,4008,Universal Pictures
The Garfield Movie,2024,5,24008125.0,91956547,3.83,60000000.0,PG,4108,Sony Pictures Releasing
Wonka,2024,12,39033456.0,218402312,5.6,125000000.0,PG,4213,Warner Bros
Longlegs,2024,7,22402125.0,74346140,3.32,10000000.0,R,2850,Neon
Migration,2024,12,12453300.0,127630880,10.25,72000000.0,PG,3839,Universal Pictures
Mean Girls,2024,1,28634502.0,72581770,2.53,36000000.0,PG-13,3826,Paramount Pictures
Smile 2,2024,10,23021400.0,69012586,3.0,28000000.0,R,3624,Paramount Pictures
Civil War,2024,4,25712100.0,68756072,2.67,50000000.0,R,3929,A24
Furiosa: A Mad Max Saga,2024,5,26325100.0,67475791,2.56,168000000.0,R,3864,Warner Bros
The Beekeeper,2024,1,16584210.0,66220535,3.99,40000000.0,R,3337,Metro-Goldwyn-Mayer (MGM)
Anyone But You,2024,12,6002470.0,88319668,14.71,25000000.0,R,3055,Columbia Pictures
Transformers One,2024,9,24607315.0,59098421,2.4,75000000.0,PG,3978,Paramount Pictures
Joker: Folie Ã  Deux,2024,10,,58300287,,,,4102,Warner Bros
Terrifier 3,2024,10,18925100.0,53981071,2.85,2000000.0,NR,2762,Cineverse
Challengers,2024,4,15011315.0,50119408,3.34,55000000.0,R,3477,Amazon MGM Studios
Nosferatu,2024,12,15000000.0,95608235,6.37,100000000.0,R,3132,Focus Features
Aquaman and the Lost Kingdom,2024,12,27700533.0,124481226,4.49,205000000.0,PG-13,3787,Warner Bros
Argylle,2024,2,17471231.0,45207275,2.59,200000000.0,PG-13,3647,Universal Pictures
Madame Web,2024,2,15335124.0,43817106,2.86,80000000.0,PG-13,4013,Columbia Pictures
