movie_title,release_year,release_month,opening_gross,domestic_lifetime_gross,legs_ratio,budget,mpaa_rating,widest_theaters,distributor
Avatar,2010,12,77025481,749766139,9.73,237000000,PG-13,3461,Twentieth Century Fox
Toy Story 3,2010,6,110307189,415004880,3.76,200000000,G,4028,Walt Disney Studios Motion Pictures
Alice in Wonderland,2010,3,116101023,334191110,2.88,200000000,PG,3739,Walt Disney Studios Motion Pictures
Iron Man 2,2010,5,128122480,312433331,2.44,200000000,PG-13,4390,Paramount Pictures
The Twilight Saga: Eclipse,2010,6,64832191,300531751,4.64,68000000,PG-13,4468,Summit Entertainment
Inception,2010,7,62785337,292576195,4.66,160000000,PG-13,3792,Warner Bros
Harry Potter and the Deathly Hallows: Part 1,2010,11,125017372,295983305,2.37,250000000,PG-13,4125,Warner Bros
Despicable Me,2010,7,56397125,251639815,4.46,69000000,PG,3602,Universal Pictures
Shrek Forever After,2010,5,70838207,238736787,3.37,165000000,PG,4386,DreamWorks
How to Train Your Dragon,2010,3,43732319,217581231,4.98,165000000,PG,4060,DreamWorks
The Karate Kid,2010,6,55665805,176591618,3.17,40000000,PG,3740,Sony Pictures Releasing
Clash of the Titans,2010,4,61235105,163214888,2.67,125000000,PG-13,3802,Warner Bros
Grown Ups,2010,6,40506562,162001186,4.0,80000000,PG-13,3534,Sony Pictures Releasing
Tangled,2010,11,48767052,200821936,4.12,260000000,PG,3603,Walt Disney Studios Motion Pictures
Megamind,2010,11,46016833,148415853,3.23,130000000,PG,3949,DreamWorks
The Last Airbender,2010,7,40325019,131772187,3.27,150000000,PG,3203,Paramount Pictures
Shutter Island,2010,2,41062440,128012934,3.12,80000000,R,3356,Paramount Pictures
The Other Guys,2010,8,35543162,119219978,3.35,100000000,PG-13,3651,Sony Pictures Releasing
Salt,2010,7,36011243,118311368,3.29,110000000,PG-13,3612,Sony Pictures Releasing
Tron: Legacy,2010,12,44026211,172062763,3.91,170000000,PG,3451,Walt Disney Studios Motion Pictures
Jackass 3D,2010,10,50353641,117229692,2.33,20000000,R,3139,Paramount Pictures
Valentine's Day,2010,2,56260707,110485654,1.96,52000000,PG-13,3665,Warner Bros
Sherlock Holmes,2010,12,62304277,209028679,3.35,90000000,PG-13,3626,Warner Bros
Robin Hood,2010,5,36063385,105269730,2.92,200000000,PG-13,3505,Universal Pictures
The Expendables,2010,8,34825135,103068524,2.96,80000000,R,3398,Lionsgate
Due Date,2010,11,32689406,100539043,3.08,65000000,R,3365,Warner Bros
Alvin and the Chipmunks: The Squeakquel,2010,12,48875415,219614612,4.49,75000000,PG,3747,Twentieth Century Fox
Date Night,2010,4,25207599,98711404,3.92,55000000,PG-13,3380,Twentieth Century Fox
Sex and the City 2,2010,5,31023470,95347692,3.07,100000000,R,3445,Warner Bros
The Book of Eli,2010,1,32789494,94835059,2.89,80000000,R,3111,Warner Bros
The Social Network,2010,10,22445653,96962694,4.32,40000000,PG-13,2921,Sony Pictures Releasing
The Town,2010,9,23806611,92186262,3.87,37000000,R,2935,Warner Bros
Prince of Persia: The Sands of Time,2010,5,30095259,90759676,3.02,200000000,PG-13,3646,Walt Disney Studios Motion Pictures
RED,2010,10,21765188,90380162,4.15,58000000,PG-13,3349,Summit Entertainment
Percy Jackson & the Olympians: The Lightning Thief,2010,2,31236067,88768303,2.84,95000000,PG,3396,Twentieth Century Fox
Paranormal Activity 2,2010,10,40678424,84752907,2.08,3000000,R,3239,Paramount Pictures
Little Fockers,2010,12,30833665,148438600,4.81,100000000,PG-13,3675,Universal Pictures
