movie_title,release_year,release_month,opening_gross,domestic_lifetime_gross,legs_ratio,budget,mpaa_rating,widest_theaters,distributor
Iron Man 3,2013,5,174144585.0,409013994,2.35,200000000.0,PG-13,4253,Walt Disney Studios Motion Pictures
The Hunger Games: Catching Fire,2013,11,158074286.0,424668047,2.69,130000000.0,PG-13,4163,Lionsgate
Despicable Me 2,2013,7,83517315.0,368065385,4.41,76000000.0,PG,4003,Universal Pictures
Man of Steel,2013,6,116619362.0,291045518,2.5,225000000.0,PG-13,4207,Warner Bros
Monsters University,2013,6,82429469.0,268492764,3.26,200000000.0,G,4004,Walt Disney Studios Motion Pictures
Frozen,2013,11,67391326.0,400738009,5.95,150000000.0,PG,3742,Walt Disney Studios Motion Pictures
Gravity,2013,10,55785112.0,274092705,4.91,100000000.0,PG-13,3820,Warner Bros
Fast & Furious 6,2013,5,97375245.0,238679850,2.45,160000000.0,PG-13,3771,Universal Pictures
Oz the Great and Powerful,2013,3,79110453.0,234911825,2.97,215000000.0,PG,3912,Walt Disney Studios Motion Pictures
Star Trek Into Darkness,2013,5,70165559.0,228778661,3.26,190000000.0,PG-13,3907,Paramount Pictures
Thor: The Dark World,2013,11,85737841.0,206362140,2.41,170000000.0,PG-13,3841,Walt Disney Studios Motion Pictures
World War Z,2013,6,66411834.0,202359711,3.05,190000000.0,PG-13,3607,Paramount Pictures
The Hobbit: The Desolation of Smaug,2013,12,73645197.0,258366855,3.51,225000000.0,PG-13,3928,Warner Bros
The Croods,2013,3,43639736.0,187168425,4.29,135000000.0,PG,4065,Twentieth Century Fox
The Heat,2013,6,39115029.0,159582188,4.08,43000000.0,R,3184,Twentieth Century Fox
We're the Millers,2013,8,26419396.0,150394119,5.69,37000000.0,R,3445,Warner Bros
The Great Gatsby,2013,5,50085184.0,144840419,2.89,105000000.0,PG-13,3550,Warner Bros
The Conjuring,2013,7,41855326.0,137400141,3.28,20000000.0,R,3115,Warner Bros
Identity Thief,2013,2,34551025.0,134506920,3.89,35000000.0,R,3230,Universal Pictures
Grown Ups 2,2013,7,41508572.0,133668525,3.22,80000000.0,PG-13,3491,Sony Pictures Releasing
The Wolverine,2013,7,53113752.0,132556852,2.5,120000000.0,PG-13,3924,Twentieth Century Fox
G.I. Joe: Retaliation,2013,3,40501814.0,122523060,3.03,130000000.0,PG-13,3734,Paramount Pictures
Now You See Me,2013,5,29350389.0,117723989,4.01,75000000.0,PG-13,3082,Lionsgate
Cloudy with a Chance of Meatballs 2,2013,9,34017930.0,119793567,3.52,78000000.0,PG,4001,Sony Pictures Releasing
The Butler,2013,8,24637312.0,116632095,4.73,30000000.0,PG-13,3330,The Weinstein Company
The Hangover Part III,2013,5,41671198.0,112200072,2.69,103000000.0,R,3565,Warner Bros
Epic,2013,5,33526403.0,107518682,3.21,100000000.0,PG,3894,Twentieth Century Fox
Captain Phillips,2013,10,25718314.0,107100855,4.16,55000000.0,PG-13,3143,Sony Pictures Releasing
Silver Linings Playbook,2013,11,443003.0,132092958,298.18,21000000.0,R,2809,The Weinstein Company
Pacific Rim,2013,7,37285325.0,101802906,2.73,190000000.0,PG-13,3285,Warner Bros
This Is the End,2013,6,20719162.0,101470202,4.9,32000000.0,R,3055,Sony Pictures Releasing
Jackass Presents: Bad Grandpa,2013,10,32057268.0,102003019,3.18,15000000.0,R,3345,Paramount Pictures
Olympus Has Fallen,2013,3,30373794.0,98925640,3.26,70000000.0,R,3106,FilmDistrict
42,2013,4,27487144.0,95020213,3.46,40000000.0,PG-13,3405,Warner Bros
Zero Dark Thirty,2013,12,413374.0,95720716,231.56,40000000.0,R,2946,Sony Pictures Releasing
Django Unchained,2013,12,30122888.0,162805434,5.4,100000000.0,R,3012,The Weinstein Company
Elysium,2013,8,29807393.0,93050117,3.12,115000000.0,R,3284,TriStar Pictures
Anchorman 2: The Legend Continues,2013,12,26232425.0,125168368,4.77,50000000.0,PG-13,3507,Paramount Pictures
Planes,2013,8,22232291.0,90288712,4.06,50000000.0,PG,3716,Walt Disney Studios Motion Pictures
The Lone Ranger,2013,7,29210849.0,89302115,3.06,215000000.0,PG-13,3904,Walt Disney Studios Motion Pictures
Oblivion,2013,4,37054485.0,89107235,2.4,120000000.0,PG-13,3792,Universal Pictures
Insidious: Chapter 2,2013,9,40272103.0,83586447,2.08,5000000.0,PG-13,3155,FilmDistrict
Turbo,2013,7,21312625.0,83028128,3.9,135000000.0,PG,3809,Twentieth Century Fox
Les Mis̩rables,2013,12,,148809770,,,,2927,Universal Pictures
2 Guns,2013,8,27059130.0,75612460,2.79,61000000.0,R,3028,Universal Pictures
The Hobbit: An Unexpected Journey,2013,12,84617303.0,303003568,3.58,250000000.0,PG-13,4100,Warner Bros
White House Down,2013,6,24852258.0,73103784,2.94,150000000.0,PG-13,3222,Sony Pictures Releasing
Mama,2013,1,28402310.0,71628180,2.52,15000000.0,PG-13,2781,Universal Pictures
Safe Haven,2013,2,21401594.0,71349120,3.33,28000000.0,PG-13,3223,Relativity Media
The Smurfs 2,2013,7,17548289.0,71017784,4.05,105000000.0,PG,3867,Sony Pictures Releasing
The Best Man Holiday,2013,11,30107555.0,70525195,2.34,17000000.0,R,2041,Universal Pictures
Percy Jackson: Sea of Monsters,2013,8,14401069.0,68559554,4.76,90000000.0,PG,3080,Twentieth Century Fox
American Hustle,2013,12,740455.0,150117807,202.74,40000000.0,R,2629,Sony Pictures Releasing
A Good Day to Die Hard,2013,2,24834845.0,67349198,2.71,92000000.0,R,3555,Twentieth Century Fox
Warm Bodies,2013,2,20353967.0,66380662,3.26,35000000.0,PG-13,3009,Lionsgate
Jack the Giant Slayer,2013,3,27202226.0,65187603,2.4,195000000.0,PG-13,3525,Warner Bros
The Purge,2013,6,34058356.0,64473115,1.89,3000000.0,R,2591,Universal Pictures
Last Vegas,2013,11,16334566.0,63914167,3.91,28000000.0,PG-13,3237,CBS Films
Ender's Game,2013,11,27017351.0,61737191,2.29,110000000.0,PG-13,3407,Lionsgate
Prisoners,2013,9,20817053.0,61002302,2.93,46000000.0,R,3290,Warner Bros
After Earth,2013,5,27520040.0,60522097,2.2,130000000.0,PG-13,3401,Sony Pictures Releasing
Escape from Planet Earth,2013,2,15891055.0,57012977,3.59,40000000.0,PG,3353,The Weinstein Company
Hansel & Gretel: Witch Hunters,2013,1,19691414.0,55703475,2.83,5000000.0,R,3375,Paramount Pictures
Free Birds,2013,11,15805411.0,55750480,3.53,55000000.0,PG,3736,Relativity Media
Evil Dead,2013,4,25775847.0,54239856,2.1,17000000.0,R,3025,TriStar Pictures
RED 2,2013,7,18048422.0,53262560,2.95,84000000.0,PG-13,3016,Lionsgate
Temptation: Confessions of a Marriage Counselor,2013,3,21641679.0,51975354,2.4,0.0,PG-13,2047,Lionsgate
The Call,2013,3,17102345.0,51872378,3.03,13000000.0,R,2507,TriStar Pictures
Pain & Gain,2013,4,20244505.0,49875291,2.46,26000000.0,R,3303,Paramount Pictures
Lincoln,2013,11,944308.0,182207973,192.95,65000000.0,PG-13,2293,Walt Disney Studios Motion Pictures
Gangster Squad,2013,1,17070347.0,46000903,2.69,60000000.0,R,3103,Warner Bros
Jurassic Park,2013,4,18589610.0,45385935,2.44,63000000.0,PG-13,2778,Universal Pictures
A Madea Christmas,2013,12,16007734.0,52543354,3.28,25000000.0,PG-13,2194,Lionsgate
The Internship,2013,6,17325307.0,44672764,2.58,58000000.0,PG-13,3399,Twentieth Century Fox
Instructions Not Included,2013,8,7846426.0,44467206,5.67,5000000.0,PG-13,978,Lionsgate
Saving Mr. Banks,2013,12,421118.0,83301580,197.81,35000000.0,PG,2671,Walt Disney Studios Motion Pictures
Parental Guidance,2013,12,14554842.0,77267296,5.31,25000000.0,PG,3368,Twentieth Century Fox
Snitch,2013,2,13167232.0,42930462,3.26,15000000.0,PG-13,2511,Lionsgate
Riddick,2013,9,19030338.0,42025135,2.21,38000000.0,R,3117,Universal Pictures
The Wolf of Wall Street,2013,12,18361578.0,116900694,6.37,100000000.0,R,2557,Paramount Pictures
A Haunted House,2013,1,18101662.0,40041683,2.21,2500000.0,R,2160,Open Road Films (II)
Life of Pi,2013,11,22451514.0,124987023,5.57,120000000.0,PG,2946,Twentieth Century Fox
12 Years a Slave,2013,10,923715.0,56671993,61.35,20000000.0,R,1474,Fox Searchlight Pictures
The Family,2013,9,14034764.0,36918811,2.63,30000000.0,R,3091,Relativity Media
Carrie,2013,10,16101552.0,35266619,2.19,30000000.0,R,3157,Screen Gems
Texas Chainsaw,2013,1,19078588.0,34341945,1.8,20000000.0,R,2659,Lionsgate
R.I.P.D.,2013,7,12691415.0,33618855,2.65,130000000.0,PG-13,2852,Universal Pictures
Blue Jasmine,2013,7,612064.0,33405481,54.58,18000000.0,PG-13,1283,Sony Pictures Classics
Jack Reacher,2013,12,15210156.0,80070736,5.26,60000000.0,PG-13,3352,Paramount Pictures
Kevin Hart: Let Me Explain,2013,7,10030463.0,32244051,3.21,0.0,R,892,Lionsgate
Side Effects,2013,2,9313025.0,32172757,3.45,30000000.0,R,2605,Open Road Films (II)
Scary Movie 5,2013,4,14157331.0,32015787,2.26,20000000.0,PG-13,3402,Dimension Films
The Secret Life of Walter Mitty,2013,12,12717411.0,58236838,4.58,90000000.0,PG-13,2922,Twentieth Century Fox
The Mortal Instruments: City of Bones,2013,8,9381625.0,31165421,3.32,60000000.0,PG-13,3118,Screen Gems
Delivery Man,2013,11,7932384.0,30664106,3.87,26000000.0,PG-13,3036,Walt Disney Studios Motion Pictures
One Direction: This Is Us,2013,8,15815620.0,28873374,1.83,10000000.0,PG,2735,TriStar Pictures
Kick-Ass 2,2013,8,13332955.0,28795985,2.16,28000000.0,R,2945,Universal Pictures
This Is 40,2013,12,11579175.0,67544505,5.83,35000000.0,R,2931,Universal Pictures
Argo,2013,10,19458109.0,136025503,6.99,44500000.0,R,3247,Warner Bros
Rush,2013,9,187289.0,26947624,143.88,38000000.0,R,2308,Universal Pictures
