movie_title,release_year,release_month,opening_gross,domestic_lifetime_gross,legs_ratio,budget,mpaa_rating,widest_theaters,distributor
Barbie,2023,7,162022044.0,636238421,3.93,145000000.0,PG-13,4337,Warner Bros
The Super Mario Bros. Movie,2023,4,146361865.0,574934330,3.93,100000000.0,PG,4371,Universal Pictures
Spider-Man: Across the Spider-Verse,2023,6,120663589.0,381311319,3.16,100000000.0,PG,4332,Columbia Pictures
Guardians of the Galaxy Vol. 3,2023,5,118414021.0,358995815,3.03,250000000.0,PG-13,4450,Walt Disney Studios Motion Pictures
Oppenheimer,2023,7,82455420.0,330078895,4.0,100000000.0,R,3761,Universal Pictures
The Little Mermaid,2023,5,95578040.0,298172056,3.12,250000000.0,PG,4320,Walt Disney Studios Motion Pictures
Avatar: The Way of Water,2023,12,134100226.0,684075767,5.1,350000000.0,PG-13,4340,20th Century Studios
Ant-Man and the Wasp: Quantumania,2023,2,106109650.0,214504909,2.02,200000000.0,PG-13,4345,Walt Disney Studios Motion Pictures
John Wick: Chapter 4,2023,3,73817950.0,187131806,2.54,100000000.0,R,3855,Lionsgate
Sound of Freedom,2023,7,14242063.0,184178046,12.93,14500000.0,PG-13,3411,Angel
Taylor Swift: The Eras Tour,2023,10,92804199.0,180756269,1.95,15000000.0,PG-13,3855,AMC Theatres
Indiana Jones and the Dial of Destiny,2023,6,60368101.0,174480468,2.89,295000000.0,PG-13,4600,Walt Disney Studios Motion Pictures
Mission: Impossible - Dead Reckoning Part One,2023,7,54688347.0,172640980,3.16,291000000.0,PG-13,4327,Paramount Pictures
The Hunger Games: The Ballad of Songbirds & Snakes,2023,11,44607143.0,166350594,3.73,100000000.0,PG-13,3776,Lionsgate
Transformers: Rise of the Beasts,2023,6,61045464.0,157341749,2.58,200000000.0,PG-13,3680,Paramount Pictures
Creed III,2023,3,58370007.0,156248615,2.68,75000000.0,PG-13,4007,United Artists Releasing
Elemental,2023,6,29602429.0,154426697,5.22,200000000.0,PG,4035,Walt Disney Studios Motion Pictures
Fast X,2023,5,67017410.0,146126015,2.18,340000000.0,PG-13,4088,Universal Pictures
Five Nights at Freddy's,2023,10,80001720.0,137275620,1.72,20000000.0,PG-13,3789,Universal Pictures
Wonka,2023,12,39033456.0,218402312,5.6,125000000.0,PG,4213,Warner Bros
Puss in Boots: The Last Wish,2023,12,12426584.0,186090535,14.98,90000000.0,PG,4121,Universal Pictures
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,8,28007466.0,118700272,4.24,70000000.0,PG,3950,Paramount Pictures
Scream VI,2023,3,44447270.0,108391107,2.44,35000000.0,R,3676,Paramount Pictures
The Flash,2023,6,55043679.0,108133313,1.96,200000000.0,PG-13,4256,Warner Bros
Trolls Band Together,2023,11,30002525.0,103270155,3.44,95000000.0,PG,3893,Universal Pictures
M3GAN,2023,1,30429860.0,95159005,3.13,12000000.0,PG-13,3628,Universal Pictures
Dungeons & Dragons: Honor Among Thieves,2023,3,37205784.0,93549650,2.51,150000000.0,PG-13,3856,Paramount Pictures
The Equalizer 3,2023,9,34604057.0,92373751,2.67,70000000.0,R,3965,Columbia Pictures
The Nun II,2023,9,32603336.0,86267073,2.65,38500000.0,R,3743,Warner Bros
The Marvels,2023,11,46110859.0,84500223,1.83,220000000.0,PG-13,4030,Walt Disney Studios Motion Pictures
Meg 2: The Trench,2023,8,30002735.0,82600317,2.75,129000000.0,PG-13,3604,Warner Bros
Insidious: The Red Door,2023,7,33013036.0,82156962,2.49,16000000.0,PG-13,3188,Screen Gems
Aquaman and the Lost Kingdom,2023,12,27700533.0,124481226,4.49,205000000.0,PG-13,3787,Warner Bros
Blue Beetle,2023,8,25030225.0,72488072,2.9,104000000.0,PG-13,3871,Warner Bros
Haunted Mansion,2023,7,24082475.0,67653287,2.81,150000000.0,PG-13,3740,Walt Disney Studios Motion Pictures
Killers of the Flower Moon,2023,10,23253654.0,68035488,2.93,200000000.0,R,3786,Paramount Pictures
Evil Dead Rise,2023,4,24504315.0,67233054,2.74,15000000.0,R,3417,Warner Bros
The Exorcist: Believer,2023,10,26497600.0,65537395,2.47,30000000.0,R,3684,Universal Pictures
PAW Patrol: The Mighty Movie,2023,9,22764354.0,65343309,2.87,30000000.0,G,4027,Paramount Pictures
Cocaine Bear,2023,2,23260795.0,64670240,2.78,30000000.0,R,3571,Universal Pictures
A Man Called Otto,2023,12,12845431.0,64267657,5.0,50000000.0,PG-13,3957,Columbia Pictures
Wish,2023,11,19500789.0,63973821,3.28,200000000.0,PG,3900,Walt Disney Studios Motion Pictures
