movie_title,release_year,release_month,opening_gross,domestic_lifetime_gross,legs_ratio,budget,mpaa_rating,widest_theaters,distributor
Star Wars: Episode III - Revenge of the Sith,2005,5,108435841,380270577,3.51,113000000,PG-13,3663,Twentieth Century Fox
Harry Potter and the Goblet of Fire,2005,11,102685961,290013036,2.82,150000000,PG-13,3858,Warner Bros
War of the Worlds,2005,6,64878725,234280354,3.61,132000000,PG-13,3910,Paramount Pictures
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,12,65556312,291710957,4.45,180000000,PG,3853,Walt Disney Studios Motion Pictures
Wedding Crashers,2005,7,33900720,209255921,6.17,40000000,R,3131,New Line Cinema
Charlie and the Chocolate Factory,2005,7,56178450,206459076,3.68,150000000,PG,3790,Warner Bros
Batman Begins,2005,6,48745440,205343774,4.21,150000000,PG-13,3858,Warner Bros
Madagascar,2005,5,47224594,193595521,4.1,75000000,PG,4142,DreamWorks Distribution
Mr. & Mrs. Smith,2005,6,50342878,186336279,3.7,110000000,PG-13,3451,Twentieth Century Fox
Hitch,2005,2,43142214,179495555,4.16,70000000,PG-13,3575,Sony Pictures Releasing
King Kong,2005,12,50130145,218080025,4.35,207000000,PG-13,3627,Universal Pictures
The Longest Yard,2005,5,47606480,158119460,3.32,82000000,PG-13,3654,Paramount Pictures
Fantastic Four,2005,7,56061504,154696080,2.76,100000000,PG-13,3619,Twentieth Century Fox
Meet the Fockers,2005,12,46120980,279261160,6.05,80000000,PG-13,3554,Universal Pictures
Chicken Little,2005,11,40049778,135386665,3.38,150000000,G,3658,Walt Disney Studios Motion Pictures
Robots,2005,3,36045301,128200012,3.56,75000000,PG,3776,Twentieth Century Fox
The Pacifier,2005,3,30552694,113086868,3.7,56000000,PG,3181,Walt Disney Studios Motion Pictures
The 40-Year-Old Virgin,2005,8,21422815,109449237,5.11,26000000,R,3006,Universal Pictures
Million Dollar Baby,2005,12,179515,100492203,559.8,30000000,PG-13,2375,Warner Bros
Walk the Line,2005,11,22347341,119519402,5.35,28000000,PG-13,3160,Twentieth Century Fox
Flightplan,2005,9,24629938,89707299,3.64,55000000,PG-13,3424,Walt Disney Studios Motion Pictures
Saw II,2005,10,31725652,87039965,2.74,4000000,R,2949,Lionsgate
Monster-in-Law,2005,5,23105133,82931301,3.59,43000000,PG-13,3424,New Line Cinema
