movie_title,release_year,release_month,opening_gross,domestic_lifetime_gross,legs_ratio,budget,mpaa_rating,widest_theaters,distributor
Black Panther,2018,2,202003951,700059566,3.47,200000000,PG-13,4084,Walt Disney Studios Motion Pictures
Avengers: Infinity War,2018,4,257698183,678815482,2.63,321000000,PG-13,4474,Walt Disney Studios Motion Pictures
Incredibles 2,2018,6,182687905,608581744,3.33,200000000,PG,4410,Walt Disney Studios Motion Pictures
Jurassic World: Fallen Kingdom,2018,6,148024610,417719760,2.82,170000000,PG-13,4485,Universal Pictures
Deadpool 2,2018,5,125507153,318491426,2.54,110000000,R,4349,Twentieth Century Fox
The Grinch,2018,11,67572855,271740675,4.02,75000000,PG,4141,Universal Pictures
Jumanji: Welcome to the Jungle,2018,12,36169328,404515480,11.18,90000000,PG-13,3849,Sony Pictures Releasing
Mission: Impossible - Fallout,2018,7,61236534,220159104,3.6,178000000,PG-13,4395,Paramount Pictures
Ant-Man and the Wasp,2018,7,75812205,216648740,2.86,162000000,PG-13,4206,Walt Disney Studios Motion Pictures
Solo: A Star Wars Story,2018,5,84420489,213767512,2.53,275000000,PG-13,4381,Walt Disney Studios Motion Pictures
Venom,2018,10,80255756,213515506,2.66,100000000,PG-13,4250,Sony Pictures Releasing
A Star Is Born,2018,10,42908051,215288866,5.02,36000000,R,3904,Warner Bros
Aquaman,2018,12,67873522,335061807,4.94,160000000,PG-13,4184,Warner Bros
Bohemian Rhapsody,2018,11,51061119,216428042,4.24,52000000,PG-13,4000,Twentieth Century Fox
A Quiet Place,2018,4,50203562,188024361,3.75,17000000,PG-13,3808,Paramount Pictures
Ralph Breaks the Internet,2018,11,56237634,201091711,3.58,175000000,PG,4017,Walt Disney Studios Motion Pictures
Crazy Rich Asians,2018,8,26510140,174532921,6.58,30000000,PG-13,3865,Warner Bros
Hotel Transylvania 3: Summer Vacation,2018,7,44076225,167510016,3.8,80000000,PG,4267,Sony Pictures Releasing
Halloween,2018,10,76221545,159342015,2.09,10000000,R,3990,Universal Pictures
Fantastic Beasts: The Crimes of Grindelwald,2018,11,62183102,159555901,2.57,200000000,PG-13,4163,Warner Bros
The Meg,2018,8,45402195,145443742,3.2,13000000,PG-13,4118,Warner Bros
Ocean's Eight,2018,6,41607378,140218711,3.37,70000000,PG-13,4145,Warner Bros
Ready Player One,2018,3,41764050,137690172,3.3,175000000,PG-13,4234,Warner Bros
The Greatest Showman,2018,12,8805843,174340174,19.8,84000000,PG,3342,Twentieth Century Fox
Mamma Mia! Here We Go Again,2018,7,34952180,120634935,3.45,75000000,PG-13,3514,Universal Pictures
The Nun,2018,9,53807437,117450119,2.18,22000000,R,3876,Warner Bros
Peter Rabbit,2018,2,25010928,115253424,4.61,50000000,PG,3725,Sony Pictures Releasing
Creed II,2018,11,35574710,115715889,3.25,50000000,PG-13,3752,Metro-Goldwyn-Mayer (MGM)
Spider-Man: Into the Spider-Verse,2018,12,35363376,190241310,5.38,90000000,PG,3813,Sony Pictures Releasing
Mary Poppins Returns,2018,12,23523121,171958438,7.31,130000000,PG,4090,Walt Disney Studios Motion Pictures
Star Wars: Episode VIII - The Last Jedi,2018,12,220009584,620181382,2.82,200000000,PG-13,4232,Walt Disney Studios Motion Pictures
