movie_title,release_year,release_month,opening_gross,domestic_lifetime_gross,legs_ratio,budget,mpaa_rating,widest_theaters,distributor
The Avengers,2012,5,207438708.0,623357910,3.01,220000000.0,PG-13,4349,Walt Disney Studios Motion Pictures
The Dark Knight Rises,2012,7,160887295.0,448139099,2.79,250000000.0,PG-13,4404,Warner Bros
The Hunger Games,2012,3,152535747.0,408010692,2.67,78000000.0,PG-13,4137,Lionsgate
Skyfall,2012,11,88364714.0,304360277,3.44,200000000.0,PG-13,3526,Sony Pictures Releasing
The Twilight Saga: Breaking Dawn - Part 2,2012,11,141067634.0,292324737,2.07,120000000.0,PG-13,4070,Lionsgate
The Amazing Spider-Man,2012,7,62004688.0,262030663,4.23,230000000.0,PG-13,4318,Sony Pictures Releasing
Brave,2012,6,66323594.0,237283207,3.58,185000000.0,PG,4164,Walt Disney Studios Motion Pictures
The Hobbit: An Unexpected Journey,2012,12,84617303.0,303003568,3.58,250000000.0,PG-13,4100,Warner Bros
Ted,2012,6,54415205.0,218815487,4.02,50000000.0,R,3303,Universal Pictures
Madagascar 3: Europe's Most Wanted,2012,6,60316738.0,216391482,3.59,145000000.0,PG,4263,DreamWorks
The Lorax,2012,3,70217070.0,214151550,3.05,70000000.0,PG,3769,Universal Pictures
Men in BlackÂ³,2012,5,,179020854,,,,4248,Sony Pictures Releasing
Wreck-It Ralph,2012,11,49038712.0,189422889,3.86,165000000.0,PG,3752,Walt Disney Studios Motion Pictures
Ice Age: Continental Drift,2012,7,46629259.0,161321843,3.46,95000000.0,PG,3886,Twentieth Century Fox
Snow White and the Huntsman,2012,6,56213700.0,155332381,2.76,170000000.0,PG-13,3777,Universal Pictures
Hotel Transylvania,2012,9,42522194.0,148313048,3.49,85000000.0,PG,3375,Sony Pictures Releasing
Taken 2,2012,10,49514769.0,139854287,2.82,45000000.0,PG-13,3706,Twentieth Century Fox
21 Jump Street,2012,3,36302612.0,138447667,3.81,42000000.0,R,3148,Sony Pictures Releasing
Lincoln,2012,11,944308.0,182207973,192.95,65000000.0,PG-13,2293,Walt Disney Studios Motion Pictures
Prometheus,2012,6,51050101.0,126477084,2.48,130000000.0,R,3442,Twentieth Century Fox
Safe House,2012,2,40172725.0,126373434,3.15,85000000.0,R,3121,Universal Pictures
The Vow,2012,2,41202458.0,125014030,3.03,30000000.0,PG-13,3038,Screen Gems
Magic Mike,2012,6,39127170.0,113721571,2.91,7000000.0,R,3120,Warner Bros
The Bourne Legacy,2012,8,38142825.0,113203870,2.97,125000000.0,PG-13,3753,Universal Pictures
Argo,2012,10,19458109.0,136025503,6.99,44500000.0,R,3247,Warner Bros
Journey 2: The Mysterious Island,2012,2,27335363.0,103860290,3.8,79000000.0,PG,3500,Warner Bros
Flight,2012,11,24900566.0,93772375,3.77,31000000.0,R,2638,Paramount Pictures
Think Like a Man,2012,4,33636303.0,91547205,2.72,12000000.0,PG-13,2052,Screen Gems
Rise of the Guardians,2012,11,23773641.0,103412758,4.35,145000000.0,PG,3672,DreamWorks
Mission: Impossible - Ghost Protocol,2012,12,12785204.0,209397903,16.38,145000000.0,PG-13,3555,Paramount Pictures
The Campaign,2012,8,26691157.0,86907746,3.26,95000000.0,R,3302,Warner Bros
Life of Pi,2012,11,22451514.0,124987023,5.57,120000000.0,PG,2946,Twentieth Century Fox
The Expendables 2,2012,8,28594970.0,85028192,2.97,100000000.0,R,3355,Lionsgate
Wrath of the Titans,2012,3,34220000.0,83670083,2.45,150000000.0,PG-13,3545,Warner Bros
Dark Shadows,2012,5,29685274.0,79727149,2.69,150000000.0,PG-13,3755,Warner Bros
John Carter,2012,3,30180188.0,73078100,2.42,250000000.0,PG-13,3749,Walt Disney Studios Motion Pictures
Les MisÃ©rables,2012,12,,148809770,,,,2927,Universal Pictures
Act of Valor,2012,2,24476632.0,70012847,2.86,12000000.0,R,3053,Relativity Media
Django Unchained,2012,12,30122888.0,162805434,5.4,100000000.0,R,3012,The Weinstein Company
Contraband,2012,1,24345565.0,66528000,2.73,25000000.0,R,2870,Universal Pictures
Looper,2012,9,20801522.0,66486205,3.2,30000000.0,R,2993,TriStar Pictures
Madea's Witness Protection,2012,6,25390575.0,65653242,2.59,20000000.0,PG-13,2161,Lionsgate
Battleship,2012,5,25534825.0,65422625,2.56,209000000.0,PG-13,3702,Universal Pictures
Mirror Mirror,2012,3,18132085.0,64935167,3.58,85000000.0,PG,3618,Relativity Media
Chronicle,2012,2,22003571.0,64575175,2.93,12000000.0,PG-13,2908,Twentieth Century Fox
Pitch Perfect,2012,9,5149303.0,65001093,12.62,17000000.0,PG-13,2787,Universal Pictures
Hope Springs,2012,8,14650121.0,63536011,4.34,30000000.0,PG-13,2441,Sony Pictures Releasing
Sherlock Holmes: A Game of Shadows,2012,12,39637079.0,186848418,4.71,125000000.0,PG-13,3703,Warner Bros
Underworld: Awakening,2012,1,25306725.0,62321039,2.46,70000000.0,R,3078,Screen Gems
The Lucky One,2012,4,22518358.0,60457138,2.68,25000000.0,PG-13,3175,Warner Bros
The Dictator,2012,5,17435092.0,59650222,3.42,65000000.0,R,3014,Paramount Pictures
Total Recall,2012,8,25577758.0,58877969,2.3,125000000.0,PG-13,3601,Sony Pictures Releasing
Titanic,2012,4,17285000.0,57884114,3.35,200000000.0,PG-13,3674,Paramount Pictures
American Reunion,2012,4,21514080.0,57011521,2.65,50000000.0,R,3203,Universal Pictures
ParaNorman,2012,8,14087050.0,56003051,3.98,60000000.0,PG,3455,Focus Features
This Means War,2012,2,17401596.0,54760791,3.15,65000000.0,PG-13,3189,Twentieth Century Fox
Project X,2012,3,21051363.0,54731865,2.6,12000000.0,R,3055,Warner Bros
The Woman in Black,2012,2,20872211.0,54333290,2.6,15000000.0,PG-13,2856,CBS Films
Paranormal Activity 4,2012,10,29002867.0,53885000,1.86,5000000.0,R,3412,Paramount Pictures
The Devil Inside,2012,1,33732515.0,53261944,1.58,1000000.0,R,2551,Paramount Pictures
The Girl with the Dragon Tattoo,2012,12,12752041.0,102515793,8.04,90000000.0,R,2950,Sony Pictures Releasing
The Odd Life of Timothy Green,2012,8,10822903.0,51854875,4.79,25000000.0,PG,2717,Walt Disney Studios Motion Pictures
Ghost Rider: Spirit of Vengeance,2012,2,22115334.0,51774002,2.34,57000000.0,PG-13,3174,Sony Pictures Releasing
The Grey,2012,1,19665014.0,51580236,2.62,25000000.0,R,3208,Open Road Films (II)
Red Tails,2012,1,18782148.0,49876377,2.66,58000000.0,PG-13,2573,Twentieth Century Fox
The Possession,2012,8,17732480.0,49130154,2.77,14000000.0,PG-13,2860,Lionsgate
Diary of a Wimpy Kid: Dog Days,2012,8,14623510.0,49008662,3.35,22000000.0,PG,3401,Twentieth Century Fox
Sinister,2012,10,18007634.0,48086903,2.67,3000000.0,R,2542,Lionsgate
Beauty and the Beast,2012,1,17755063.0,47617067,2.68,25000000.0,G,2625,Walt Disney Studios Motion Pictures
Jack Reacher,2012,12,15210156.0,80070736,5.26,60000000.0,PG-13,3352,Paramount Pictures
Savages,2012,7,16016910.0,47382068,2.96,45000000.0,R,2635,Universal Pictures
The Best Exotic Marigold Hotel,2012,5,737091.0,46412041,62.97,10000000.0,PG-13,1298,Fox Searchlight Pictures
Moonrise Kingdom,2012,5,522996.0,45512466,87.02,16000000.0,PG-13,924,Focus Features
Alvin and the Chipmunks: Chipwrecked,2012,12,23244298.0,133110742,5.73,75000000.0,G,3734,Twentieth Century Fox
The Three Stooges,2012,4,17013500.0,44338224,2.61,30000000.0,PG,3482,Twentieth Century Fox
The Descendants,2012,11,1150090.0,82584160,71.81,20000000.0,R,2038,Fox Searchlight Pictures
Here Comes the Boom,2012,10,11815302.0,45290318,3.83,42000000.0,PG,3014,Sony Pictures Releasing
