movie_title,release_year,release_month,opening_gross,domestic_lifetime_gross,legs_ratio,budget,mpaa_rating,widest_theaters,distributor
Transformers: Revenge of the Fallen,2009,6,108966307.0,402111870,3.69,200000000.0,PG-13,4293,DreamWorks
Harry Potter and the Half-Blood Prince,2009,7,77835727.0,301959197,3.88,250000000.0,PG,4455,Warner Bros
Up,2009,5,68108790.0,293004164,4.3,175000000.0,PG,3886,Walt Disney Studios Motion Pictures
The Twilight Saga: New Moon,2009,11,142839137.0,296623634,2.08,50000000.0,PG-13,4124,Summit Entertainment
Avatar,2009,12,77025481.0,749766139,9.73,237000000.0,PG-13,3461,Twentieth Century Fox
The Hangover,2009,6,44979319.0,277322503,6.17,35000000.0,R,3545,Warner Bros
Star Trek,2009,5,75204289.0,257730019,3.43,150000000.0,PG-13,4053,Paramount Pictures
Monsters vs. Aliens,2009,3,59321095.0,198351526,3.34,175000000.0,PG,4136,DreamWorks
Ice Age: Dawn of the Dinosaurs,2009,7,41690374.0,196573705,4.72,90000000.0,PG,4102,Twentieth Century Fox
The Blind Side,2009,11,34119372.0,255959475,7.5,29000000.0,PG-13,3407,Warner Bros
X-Men Origins: Wolverine,2009,5,85058003.0,179883157,2.11,150000000.0,PG-13,4102,Twentieth Century Fox
Night at the Museum: Battle of the Smithsonian,2009,5,54173286.0,177243721,3.27,150000000.0,PG,4101,Twentieth Century Fox
The Proposal,2009,6,33627730.0,163958031,4.88,40000000.0,PG-13,3158,Walt Disney Studios Motion Pictures
2012,2009,11,65237614.0,166112167,2.55,200000000.0,PG-13,3444,Sony Pictures Releasing
Fast & Furious,2009,4,70950500.0,155064265,2.19,85000000.0,PG-13,3674,Universal Pictures
G.I. Joe: The Rise of Cobra,2009,8,54713046.0,150201498,2.75,175000000.0,PG-13,4007,Paramount Pictures
Paul Blart: Mall Cop,2009,1,31832637.0,146336178,4.6,26000000.0,PG,3206,Sony Pictures Releasing
Taken,2009,1,24717137.0,145000989,5.87,25000000.0,PG-13,3184,Twentieth Century Fox
Gran Torino,2009,12,271220.0,148095302,546.03,33000000.0,R,3045,Warner Bros
A Christmas Carol,2009,11,30051074.0,137855863,4.59,200000000.0,PG,3683,Walt Disney Studios Motion Pictures
Angels & Demons,2009,5,46204168.0,133375846,2.89,150000000.0,PG-13,3527,Sony Pictures Releasing
Terminator Salvation,2009,5,42553059.0,125322469,2.95,200000000.0,PG-13,3602,Warner Bros
Cloudy with a Chance of Meatballs,2009,9,30304648.0,124870275,4.12,100000000.0,PG,3119,Sony Pictures Releasing
Alvin and the Chipmunks: The Squeakquel,2009,12,48875415.0,219614612,4.49,75000000.0,PG,3747,Twentieth Century Fox
Inglourious Basterds,2009,8,38054676.0,120540719,3.17,70000000.0,R,3358,The Weinstein Company
G-Force,2009,7,31706934.0,119436770,3.77,150000000.0,PG,3697,Walt Disney Studios Motion Pictures
Slumdog Millionaire,2009,11,360018.0,141319928,392.54,15000000.0,R,2943,Fox Searchlight Pictures
District 9,2009,8,37354308.0,115646235,3.1,30000000.0,R,3180,TriStar Pictures
Couples Retreat,2009,10,34286740.0,109204945,3.19,60000000.0,PG-13,3074,Universal Pictures
