movie_title,release_year,release_month,opening_gross,domestic_lifetime_gross,legs_ratio,budget,mpaa_rating,widest_theaters,distributor
Avengers: Endgame,2019,4,357115007.0,858373000,2.4,356000000.0,PG-13,4662,Walt Disney Studios Motion Pictures
The Lion King,2019,7,191770759.0,543638043,2.83,260000000.0,PG,4802,Walt Disney Studios Motion Pictures
Toy Story 4,2019,6,120908065.0,434038008,3.59,200000000.0,G,4575,Walt Disney Studios Motion Pictures
Frozen II,2019,11,130263358.0,477373578,3.66,150000000.0,PG,4440,Walt Disney Studios Motion Pictures
Captain Marvel,2019,3,153433423.0,426829839,2.78,160000000.0,PG-13,4310,Walt Disney Studios Motion Pictures
Star Wars: Episode IX - The Rise of Skywalker,2019,12,177383010.0,515202542,2.9,275000000.0,PG-13,4406,Walt Disney Studios Motion Pictures
Spider-Man: Far from Home,2019,7,92579212.0,390532085,4.22,160000000.0,PG-13,4634,Sony Pictures Releasing
Aladdin,2019,5,91500929.0,355559216,3.89,183000000.0,PG,4476,Walt Disney Studios Motion Pictures
Joker,2019,10,96202337.0,335451311,3.49,55000000.0,R,4374,Warner Bros
It: Chapter Two,2019,9,91062152.0,211593228,2.32,,,4570,Warner Bros
Jumanji: The Next Level,2019,12,59251536.0,320314960,5.41,125000000.0,PG-13,4227,Sony Pictures Releasing
Us,2019,3,71117625.0,175084580,2.46,20000000.0,R,3743,Universal Pictures
Fast & Furious Presents: Hobbs & Shaw,2019,8,60038950.0,173956935,2.9,200000000.0,PG-13,4344,Universal Pictures
John Wick: Chapter 3 - Parabellum,2019,5,56818067.0,171015687,3.01,75000000.0,R,3850,Lionsgate
How to Train Your Dragon: The Hidden World,2019,2,55022245.0,160799505,2.92,129000000.0,PG,4286,Universal Pictures
The Secret Life of Pets 2,2019,6,46652680.0,158980250,3.41,80000000.0,PG,4564,Universal Pictures
Pok̩mon: Detective Pikachu,2019,5,,144105346,,,,4248,Warner Bros
Once Upon a Time... in Hollywood,2019,7,41082018.0,142502728,3.47,90000000.0,R,3659,Sony Pictures Releasing
Shazam!,2019,4,53505326.0,140371656,2.62,100000000.0,PG-13,4306,Warner Bros
Aquaman,2019,12,67873522.0,335061807,4.94,160000000.0,PG-13,4184,Warner Bros
Knives Out,2019,11,26769548.0,165363234,6.18,40000000.0,PG-13,3461,Lionsgate
Dumbo,2019,3,45990748.0,114766307,2.5,170000000.0,PG,4259,Walt Disney Studios Motion Pictures
Maleficent: Mistress of Evil,2019,10,36948713.0,113929605,3.08,185000000.0,PG,3820,Walt Disney Studios Motion Pictures
Glass,2019,1,40586335.0,111048468,2.74,20000000.0,PG-13,3844,Universal Pictures
Godzilla: King of the Monsters,2019,5,47776293.0,110500138,2.31,170000000.0,PG-13,4108,Warner Bros
The Upside,2019,1,20355000.0,108252517,5.32,37500000.0,PG-13,3568,STX Entertainment
Ford v Ferrari,2019,11,31474958.0,117624357,3.74,97600000.0,PG-13,3746,Twentieth Century Fox
The Lego Movie 2: The Second Part,2019,2,34115335.0,105806508,3.1,99000000.0,PG,4303,Warner Bros
